"","RNA","ATAC"
"1","Gm23925","Hbb-bt"
"2","Arhgap33","Cbx5"
"3","Cd19","Ppa2"
"4","Depdc1a","Trio"
"5","Pou2af1","Cdk5rap3"
"6","Vpreb3","Ctla2a"
"7","Cenpl","Prelid2"
"8","Akap12","Bloodlinc"
"9","Aspm","Mir6374"
"10","Cd2","Alg9"
"11","Lipo3","Cetn3"
"12","Rasgrp1","4930404N11Rik"
"13","Anln","Mst1"
"14","Pif1","Cacng2"
"15","Prr11","Gvin2"
"16","Adamts3","Tespa1"
"17","Ppp1r16b","Rnf123"
"18","Mrpl23","Tagln2"
"19","Chst3","Phldb3"
"20","Zc3h12c","Eef1d"
"21","Spc25","Lig1"
"22","Prc1","Tcf3"
"23","Adgrl4","Eml6"
"24","Kifc5b","Cfap45"
"25","Kif18a","5730480H06Rik"
"26","Serf1","Tmem184a"
"27","Il2ra","Arrdc2"
"28","Myo1a","Nprl3"
"29","As3mt","Lsm1"
"30","Reep4","Ptgs2os2"
"31","Fcrla","Hemgn"
"32","Gm37868","Map4k1"
"33","Mis18bp1","Pcf11"
"34","Zfp69","Olfr646"
"35","Zfp521","Mapk8ip3"
"36","Ntpcr","Rad23a"
"37","Scin","Cytip"
"38","Kif14","Prdx2"
"39","Bckdhb","Alox5ap"
"40","Sdc4","Limd1"
"41","Knl1","Invs"
"42","Nek2","Abcb9"
"43","Arhgap11a","Map9"
"44","Ska2","Gm867"
"45","Map1a","Srsf10"
"46","9930014A18Rik","Zfpm1"
"47","Ankle1","Gpr146"
"48","Muc13","Macir"
"49","Mblac2","Mir451b"
"50","2700099C18Rik","Cdh10"
"51","Paqr8","Tox2"
"52","Blk","Adamts17"
"53","Fsbp","Reep6"
"54","Spag5","Gm20715"
"55","Angpt1","Syngr1"
"56","Tie1","Traf3"
"57","Rsc1a1","Ctla2b"
"58","Gm36401","Naaladl1"
"59","Zfp976","Gnaz"
"60","Lrrc49","Nfe2"
"61","Kif23","Plek"
"62","Ccdc8","Arhgap28"
"63","Sec14l2","Klf3"
"64","H2ax","Inpp5d"
"65","Epha7","Gm16938"
"66","H3c15","Hbb-bs"
"67","Cdca2","Ssbp2"
"68","Gfra1","Cd82"
"69","Fbxo5","Sox4"
"70","Hmmr","Tbl1x"
"71","Rbm15","Dnpep"
"72","Fcmr","Tacstd2"
"73","Gm12693","Hagh"
"74","Ect2","Slco4a1"
"75","H4c6","Mad2l1bp"
"76","Edaradd","Cebpa"
"77","Ldlrad4","Aqp1"
"78","Klk8","Mob3a"
"79","Arhgef39","Slc4a1"
"80","Parpbp","Stat3"
"81","Pcp4l1","Moxd2"
"82","Sgo1","4930528D03Rik"
"83","Ncapg","Fbf1"
"84","Espl1","Rcbtb2"
"85","H2af-ps2","Pck2"
"86","Kif22","Fn3k"
"87","Cdk5rap2","Lrrk1"
"88","Stil","Ccdc150"
"89","Tmem181a","Zfp213"
"90","Zfp947","Smim3"
"91","Gm37876","Spns3"
"92","Prdm5","Dnajb12"
"93","Maoa","Scamp4"
"94","Tulp3","Aspm"
"95","Gm38067","Rnf122"
"96","Tpx2","Emilin2"
"97","Cdca3","Gps2"
"98","B130055M24Rik","Apol8"
"99","Pinx1","6030468B19Rik"
"100","Ccdc34","Ehbp1l1"
"101","Mettl22","Odf2"
"102","Gm16211","Rassf5"
"103","Gm37645","Syn3"
"104","Tdg-ps2","Slc25a44"
"105","H2ac21","Zfp39"
"106","Tuba1c","Ghitm"
"107","Ube2t","Luc7l3"
"108","Gm36948","Snx20"
"109","Gm37639","Slc6a15"
"110","Kcna3","Map1lc3b"
"111","Arl6ip1","Inka1"
"112","H2bc22","Sema4b"
"113","Ndc80","Slc2a4"
"114","Cep295","Epb41l3"
"115","Ska1","Flrt3"
"116","Rhno1","Tap2"
"117","Ak4","Lrrc66"
"118","Pnma1","Cst7"
"119","Gtse1","Mir6396"
"120","Gas2l3","Btg2"
"121","Gm19721","Pfkfb3"
"122","Cdkn2d","Atf4"
"123","Kifc1","Celf2"
"124","Kmt2c","Dnttip1"
"125","Sun1","Afmid"
"126","Ncapd3","Snx15"
"127","Gm21994","Tbc1d4"
"128","Accs","Wdr55"
"129","Mir99ahg","Rgs1"
"130","Acy1","H3f3a"
"131","Odf2","Ccdc89"
"132","Rapgef5","Ppm1h"
"133","Wdr19","Thbd"
"134","Gm13012","Fam214a"
"135","Cep70","Mesd"
"136","Tcp11l1","H2-Q6"
"137","Troap","Arhgef9"
"138","Kctd7","Zmynd11"
"139","Ckap2","Sppl2b"
"140","Clec11a","Sec14l2"
"141","Gm7666","Uhrf1bp1l"
"142","Polq","Hk1"
"143","Calcrl","Lmntd2"
"144","Cd34","Myh10"
"145","Iqgap3","Psph"
"146","Ncapd2","Usp19"
"147","Tex52","Ptov1"
"148","Pax5","4931428F04Rik"
"149","Aldoc","Kcnab2"
"150","H3c2","Tigar"
"151","Gm37677","Mindy1"
"152","Racgap1","Rnf44"
"153","Utp20","Atp13a2"
"154","Zfp593","Bcl9"
"155","Neil3","Inpp4b"
"156","Fam83d","Arf5"
"157","Igll1","Mctp1"
"158","Brca2","Specc1l"
"159","Ddt","Heatr1"
"160","Kdm5b","Tuba8"
"161","Cdk1","Zfp937"
"162","Zfp40","Rab18"
"163","Gm14269","Slc27a1"
"164","2010110K18Rik","Rhbdf2"
"165","Kics2","Kcnmb1"
"166","Adgrg3","Wnt6"
"167","Kif11","Iqgap2"
"168","Kif18b","Gm10804"
"169","Slc25a23","Lmo4"
"170","C430014B12Rik","Tmc8"
"171","4930550C14Rik","D130040H23Rik"
"172","Cxcl9","Caps2"
"173","Gpsm2","Trim69"
"174","Ticrr","Bcl11a"
"175","Gm3081","Arhgap30"
"176","R3hdm1","Rhd"
"177","Lynx1","Pkd1"
"178","Plk4","Ptpre"
"179","Ckap2l","D16Ertd472e"
"180","Zbed3","Rbfa"
"181","Dot1l","Gtpbp1"
"182","Birc5","1700028I16Rik"
"183","Gen1","Ctsd"
"184","Srbd1","Gvin1"
"185","Stap1","Glb1l2"
"186","Ccnf","Vsir"
"187","Il22ra1","Pde7a"
"188","Igkv14-111","Chd3"
"189","Cenpp","Slc9a9"
"190","H4c2","Mpv17l2"
"191","Cntrob","Akna"
"192","Miip","Il12rb2"
"193","H2bc13","Ermap"
"194","H2ac8","Emb"
"195","Nde1","Ilk"
"196","Foxm1","Fbxl12"
"197","Dbf4","Arhgef10"
"198","Ckap5","Ank2"
"199","Ralgps1","Srgap3"
"200","Top2a","Siae"
"201","Cdca8","Golga7"
"202","Flt3","Kcnn4"
"203","Terf1","Hs3st1"
"204","Aurka","Mppe1"
"205","Gm37159","Carhsp1"
"206","Wdr62","Cks2"
"207","H3c4","Mtg1"
"208","Scrn2","Ccdc149"
"209","Gar1","Tes"
"210","Dlgap5","Poc1b"
"211","Itga5","Calm4"
"212","Tmpo","Ptpn6"
"213","H2bu1-ps","Rbm38"
"214","Cask","Dnmt3a"
"215","Tbc1d12","Micall2"
"216","Dipk1b","Stom"
"217","Gm19353","Zyx"
"218","Gm14382","2610307P16Rik"
"219","Cep135","Zbtb10"
"220","Kif4","Mzf1"
"221","Incenp","P2ry14"
"222","Gm26575","Pcca"
"223","Camk4","Ppp1r15a"
"224","Cenpf","Blvrb"
"225","Kirrel3os","Fstl1"
"226","Gm23238","Cops4"
"227","Atl2","Ppp2r1b"
"228","Dusp12","Plekha1"
"229","Mindy4","Ube2e2"
"230","Gm42743","Pop1"
"231","Mtap","Jpt1"
"232","Gm20628","Cisd2"
"233","Bub1b","Bid"
"234","Nt5c3b","Dnajc11"
"235","Anxa9","Hs3st3b1"
"236","Srpk3","Ifrd2"
"237","Homer3","Shisa5"
"238","Tacc3","Zmynd12"
"239","Zfp874a","Rpl21"
"240","Hpn","Tal1"
"241","Cdan1","Ggt5"
"242","Ncapg2","Ccdc189"
"243","Ccp110","Marchf3"
"244","Polh","Il17ra"
"245","H4c14","Trim28"
"246","Sorcs2","Aim2"
"247","1700025G04Rik","Fhip1b"
"248","Hnf4a","Lrrc72"
"249","Niban3","Evi5l"
"250","Myef2","Gm29685"
"251","Ogg1","Trim30b"
"252","Acap3","Pkp4"
"253","Gas6","Arhgef18"
"254","Glipr1","Stk16"
"255","Smc4","1700001G11Rik"
"256","Ccnb1","Mbnl1"
"257","Ncaph","Tmem259"
"258","Lbr","Lemd2"
"259","H2ac11","Hipk4"
"260","Gm9104","Cd226"
"261","Elovl6","Morn3"
"262","Nrbp2","Asb7"
"263","Dusp19","St6galnac5"
"264","Zfp37","Wasf2"
"265","2900026A02Rik","Pitx2"
"266","Pcbp3","Mfsd6"
"267","H2ac4","Uros"
"268","Gm15787","Ttc7"
"269","2310009B15Rik","Rbp2"
"270","Atad3a","Por"
"271","H3c11","Slc12a7"
"272","Gm16570","Spi1"
"273","Hyls1","Pacsin2"
"274","Acvr1","Tnk1"
"275","Trim17","Tram1"
"276","A230059L01Rik","B9d2"
"277","Tfap4","Btbd11"
"278","Cip2a","Cela1"
"279","Pus1","Hivep3"
"280","Srrm1","Cyp2j9"
"281","Cep89","Atxn7l3"
"282","Slc25a13","Gfi1b"
"283","9430037G07Rik","Plscr2"
"284","H2ac15","Egr1"
"285","B3galt2","Aqp9"
"286","Cdc25c","Lat2"
"287","Kyat3","Sla"
"288","Inpp1","Stk11"
"289","Etv6","Ccdc148"
"290","Kpna2-ps","Calm5"
"291","H4c8","Kmt2d"
"292","Cdc42bpa","Ghr"
"293","Ccl9","Wdr81"
"294","Smc2","Oas1e"
"295","Kbtbd6","1700037H04Rik"
"296","Gm14098","Ogg1"
"297","Snx6","Cep55"
"298","Cysltr1","Itsn1"
"299","Rbm41","Fut10"
"300","Auts2","Car3"
"301","Nanos1","Ttll12"
"302","Ccna2","Cd53"
"303","Btnl9","Cic"
"304","Ddx10","Pfdn4"
"305","Pdzd11","Rhof"
"306","Rnf180","Mapk12"
"307","Zw10","Ptk6"
"308","Dleu2","Tmem107"
"309","Nemp1","Lss"
"310","Mastl","Rps14"
"311","Gm14827","Rin3"
"312","H4c11","Dock2"
"313","H2ac20","Dhodh"
"314","Ttll12","Sbno2"
"315","Zfp937","Pak1"
"316","Tspan3","Cmah"
"317","Nt5dc2","Adgrl2"
"318","Zfp36","Napa"
"319","Sgo2a","Slc46a3"
"320","Cd79a","Ankrd40"
"321","H2ac10","Lyplal1"
"322",NA,"Plcl1"
"323",NA,"Marchf2"
"324",NA,"Gm5122"
"325",NA,"S1pr1"
"326",NA,"Mef2c"
"327",NA,"Narf"
"328",NA,"App"
"329",NA,"Fbxo40"
"330",NA,"Ank1"
"331",NA,"Syne3"
"332",NA,"Lrrc34"
"333",NA,"Sh2b1"
"334",NA,"Mia2"
"335",NA,"Etnk1"
"336",NA,"Etfb"
"337",NA,"Gm15441"
"338",NA,"Med19"
"339",NA,"Mef2d"
"340",NA,"Zfp759"
"341",NA,"C030034L19Rik"
"342",NA,"Dmtn"
"343",NA,"5430421F17Rik"
"344",NA,"Wwp2"
"345",NA,"Eef2k"
"346",NA,"Gm42421"
"347",NA,"Rgl1"
"348",NA,"Slain1"
"349",NA,"Zg16"
"350",NA,"Susd3"
"351",NA,"Jade1"
"352",NA,"Irf6"
"353",NA,"Klf16"
"354",NA,"Trabd2b"
"355",NA,"Ckm"
"356",NA,"Rapsn"
"357",NA,"Kcnk7"
"358",NA,"Lsm8"
"359",NA,"Dusp6"
"360",NA,"Myct1"
"361",NA,"Sdccag8"
"362",NA,"Crip2"
"363",NA,"Nfkbia"
"364",NA,"Gm10640"
"365",NA,"Runx3"
"366",NA,"Rrs1"
"367",NA,"Tle1"
"368",NA,"Lrch4"
"369",NA,"Slc25a4"
"370",NA,"Gm10371"
"371",NA,"Acbd4"
"372",NA,"Ppp2r5a"
"373",NA,"Clcn4"
"374",NA,"Gm15708"
"375",NA,"Primpol"
"376",NA,"Lpcat1"
"377",NA,"F630028O10Rik"
"378",NA,"Arhgap45"
"379",NA,"Slc17a9"
"380",NA,"Hhex"
"381",NA,"Slc24a3"
"382",NA,"Gm10033"
"383",NA,"Srgn"
"384",NA,"Txndc2"
"385",NA,"Ptma"
