"","col1","col2"
"1","Lipo3","1700001G11Rik"
"2","Adamts3","1700008O03Rik"
"3","Mrpl23","1700011C11Rik"
"4","Zc3h12c","1700017G19Rik"
"5","Adgrl4","1700045H11Rik"
"6","Serf1","1700110K17Rik"
"7","As3mt","2010204K13Rik"
"8","Zfp69","2210408F21Rik"
"9","Zfp521","2210418O10Rik"
"10","Ntpcr","2310001H17Rik"
"11","Scin","4921504E06Rik"
"12","Bckdhb","4931428F04Rik"
"13","9930014A18Rik","4933439K11Rik"
"14","Muc13","5730522E02Rik"
"15","Mblac2","5830416I19Rik"
"16","Paqr8","8430423G03Rik"
"17","Angpt1","A230051N06Rik"
"18","Tie1","A330040F15Rik"
"19","Rsc1a1","A530088E08Rik"
"20","Zfp976","Abcc1"
"21","Lrrc49","Abhd14b"
"22","Ccdc8","Abl2"
"23","Epha7","Ablim2"
"24","Gm12693","Acot7"
"25","Ldlrad4","Acpp"
"26","Klk8","Acvr2b"
"27","Pcp4l1","Adam3"
"28","Tmem181a","Adamts17"
"29","Zfp947","Adgre5"
"30","Prdm5","Adgrg3"
"31","Maoa","Adgrl2"
"32","Pinx1","Agap2"
"33","Mettl22","AI847159"
"34","Gm37645","Aim2"
"35","Tdg-ps2","Akna"
"36","Kcna3","Akr1c13"
"37","Ak4","Alox5ap"
"38","Gm21994","Aopep"
"39","Accs","App"
"40","Mir99ahg","Arap1"
"41","Acy1","Arhgap15"
"42","Rapgef5","Arhgap28"
"43","Wdr19","Arhgap30"
"44","Gm13012","Arhgap45"
"45","Tcp11l1","Arhgdib"
"46","Clec11a","Arhgef18"
"47","Gm7666","Arhgef4"
"48","Calcrl","Arhgef9"
"49","Cd34","Arid4b"
"50","Utp20","Arl11"
"51","Zfp593","Arrdc4"
"52","Ddt","Asb7"
"53","Kdm5b","Atp10a"
"54","Zfp40","Atp1a3"
"55","Gm14269","Atp2a3"
"56","Kics2","Atxn2"
"57","Adgrg3","AY512915"
"58","Slc25a23","B4galt4"
"59","C430014B12Rik","Baiap3"
"60","4930550C14Rik","Baz1a"
"61","Zbed3","BC028528"
"62","Stap1","Bcl11a"
"63","Ralgps1","Bcl9"
"64","Flt3","Bhlhb9"
"65","Gm37159","Bin1"
"66","Scrn2","Bnc2"
"67","Gar1","Btbd11"
"68","Itga5","Btbd19"
"69","Cask","Btn2a2"
"70","Dipk1b","C030034L19Rik"
"71","Dusp12","Cabcoco1"
"72","Mindy4","Cacng2"
"73","Mtap","Cacng3"
"74","Nt5c3b","Calm4"
"75","Anxa9","Calm5"
"76","Homer3","Camta1"
"77","Zfp874a","Cass4"
"78","Hpn","Castor2"
"79","1700025G04Rik","Cbfa2t3"
"80","Hnf4a","Ccdc102a"
"81","Ogg1","Ccdc148"
"82","Glipr1","Ccdc150"
"83","Gm9104","Ccdc180"
"84","Elovl6","Ccdc30"
"85","Dusp19","Ccdc8"
