"","col1","col2"
"1","Gm23925","1700017B05Rik"
"2","Arhgap33","2310061I04Rik"
"3","Cd19","2810013P06Rik"
"4","Depdc1a","4833445I07Rik"
"5","Pou2af1","6030468B19Rik"
"6","Vpreb3","9530052C20Rik"
"7","Cenpl","Abcb9"
"8","Akap12","Abcg4"
"9","Aspm","Abhd2"
"10","Cd2","Acbd4"
"11","Rasgrp1","Acp5"
"12","Anln","Adamtsl5"
"13","Pif1","Akap8l"
"14","Prr11","Alkbh4"
"15","Ppp1r16b","Ap2b1"
"16","Chst3","Apol8"
"17","Spc25","Arf5"
"18","Prc1","Arhgef1"
"19","Kifc5b","Arl6ip1"
"20","Kif18a","Arl8a"
"21","Il2ra","Aspm"
"22","Myo1a","Atg4d"
"23","Reep4","Atpif1"
"24","Fcrla","Atxn7l3"
"25","Gm37868","B4galt1"
"26","Mis18bp1","Bcas3"
"27","Kif14","Bloodlinc"
"28","Sdc4","Blvrb"
"29","Knl1","Bola3"
"30","Nek2","Bsdc1"
"31","Arhgap11a","Btg2"
"32","Ska2","Btnl10"
"33","Map1a","Cabp2"
"34","Ankle1","Casq2"
"35","2700099C18Rik","Cbx5"
"36","Blk","Ccdc189"
"37","Fsbp","Ccdc9"
"38","Spag5","Cd82"
"39","Gm36401","Cdc25b"
"40","Kif23","Cdc25c"
"41","Sec14l2","Cela1"
"42","H2ax","Cetn3"
"43","H3c15","Cfap97"
"44","Cdca2","Cfl1"
"45","Gfra1","Chek2"
"46","Fbxo5","Cic"
"47","Hmmr","Cirbp"
"48","Rbm15","Clta"
"49","Fcmr","Coq10b"
"50","Ect2","Cpeb3"
"51","H4c6","Cpt1c"
"52","Edaradd","Crip2"
"53","Arhgef39","Ctsd"
"54","Parpbp","Ctse"
"55","Sgo1","Cyth3"
"56","Ncapg","Dapk2"
"57","Espl1","Dennd10"
"58","H2af-ps2","Dnajc11"
"59","Kif22","Dnase2a"
"60","Cdk5rap2","Dnpep"
"61","Stil","Ehbp1l1"
"62","Gm37876","Eif4enif1"
"63","Tulp3","Ep400"
"64","Gm38067","Ermap"
"65","Tpx2","Etnk1"
"66","Cdca3","F930017D23Rik"
"67","B130055M24Rik","Fam214b"
"68","Ccdc34","Fam72a"
"69","Gm16211","Fbf1"
"70","H2ac21","Fhdc1"
"71","Tuba1c","Fntb"
"72","Ube2t","Ghitm"
"73","Gm36948","Gin1"
"74","Gm37639","Gm10371"
"75","Arl6ip1","Gm16938"
"76","H2bc22","Gm5475"
"77","Ndc80","Gm867"
"78","Cep295","Golga7"
"79","Ska1","Golph3l"
