"","RNA","ATAC"
"1","Usp32","Hbb-bt"
"2","Mxd1","Zyx"
"3","Tspan33","Cbx5"
"4","Clcn3","Id2"
"5","Dennd2c","Cdk5rap3"
"6","Bcl2l1","Adgrl2"
"7","Hipk1","Tmtc2"
"8","Evi5","Nr3c2"
"9","Arrb1","Ctsc"
"10","Atp6v0a1","Ctla2a"
"11","Slc16a10","Prelid2"
"12","Cpeb4","Traf3ip3"
"13","Btnl10","Cbfb"
"14","Rsad2","Mir6374"
"15","Ube2o","Cers4"
"16","Prxl2a","Msl3l2"
"17","Xpo7","Bloodlinc"
"18","Tfrc","4930404N11Rik"
"19","Rhag","Rnf123"
"20","Lpin2","Ttc21b"
"21","Fech","Naaladl1"
"22","Rab3il1","Adgrl4"
"23","Alas2","Mst1"
"24","Snca","Agpat3"
"25","Stradb","Fam110a"
"26","Trak2","Alg9"
"27","Dnajb2","Zfp873"
"28","Asb1","6720483E21Rik"
"29","Cln8","Rad23a"
"30","Adipor1","Lig1"
"31","Spta1","Eml6"
"32","Dcaf6","Rapgef2"
"33","Stom","5730480H06Rik"
"34","Ube2l6","Utrn"
"35","Gpcpd1","Pck2"
"36","Slc6a9","Ptgs2os2"
"37","Ermap","Lrp12"
"38","Epb41","Inpp5d"
"39","Ulk1","Ptger3"
"40","Eif2ak1","Cetn3"
"41","Art4","Tcf3"
"42","Cdr2","Mapk8ip3"
"43","Otud5","Mir6396"
"44","Ank1","Tmc8"
"45","Abcb10","Tnr"
"46","Hmbs","Gm16938"
"47","Dapk2","Abcb9"
"48","Tfdp2","Hbb-bs"
"49","Ltf","Tmem184a"
"50","Marchf3","Elmo1"
"51","Tmem131l","Arrdc2"
"52","Slc25a37","Fbxo17"
"53","Mtmr3","3300002I08Rik"
"54","Bmp2k","Map9"
"55","Ibtk","Fhit"
"56","Gadd45a","Snx15"
"57","Tbcel","Prdx2"
"58","Ranbp10","Lsm1"
"59","Pkhd1l1","Inpp1"
"60","Wdr26","Tomm20l"
"61","Gcnt1","Tox2"
"62","Isg20","Eef1d"
"63","Cpeb3","Nprl3"
"64","Chil3","Map1lc3b"
"65","Bsdc1","Gpr146"
"66","Fhdc1","Slc39a10"
"67","Tmcc2","Gm20715"
"68","Specc1","Limd1"
"69","Kdm7a","Ctla2b"
"70","Sowaha","Gnaz"
"71","Tent5c","Plek"
"72","Slc25a51","Arhgap28"
"73","Fbxo30","Mad2l1bp"
"74","Foxo3","Mical2"
"75","Sox6","Ston2"
"76","Hbb-bs","Jup"
"77","Dennd4a","Nfe2"
"78","H2-T24","Sufu"
"79","S100a8","Ssbp2"
"80","Gda","Afmid"
"81","Arhgef12","Ccar2"
"82","Ppox","Slc4a1"
"83","Hba-a2","Sox4"
"84","Fryl","Trim7"
"85","Hbb-bt","Neurod4"
"86","Marchf2","Havcr2"
"87","Gm29438","Gm31520"
