"","col1","col2"
"1","Rgs1","1700001G11Rik"
"2","Cd34","1700008O03Rik"
"3","Cd69","1700011C11Rik"
"4","Angpt1","1700096J18Rik"
"5","Mdn1","1700110K17Rik"
"6","Ctla2a","2210418O10Rik"
"7","Adgrg1","2310001H17Rik"
"8","Fos","2310040G24Rik"
"9","Nop58","2810429I04Rik"
"10","Muc13","3300002I08Rik"
"11","Rpl39","4921504E06Rik"
"12","Hsp90ab1","4930445N18Rik"
"13","Dapp1","4930519L02Rik"
"14","Kit","4931428F04Rik"
"15","Macroh2a1","4933439K11Rik"
"16","Meis1","5430425K12Rik"
"17","Bcl2","5730522E02Rik"
"18","Mef2c","5830416I19Rik"
"19","Cdk6","6330415G19Rik"
"20","Ddx21","6430571L13Rik"
"21","Cd93","6720483E21Rik"
"22","Rpl3-ps1","8430423G03Rik"
"23","Pde4b","A230051N06Rik"
"24","Rpl32","Abca1"
"25","Adgrl4","Abcc1"
"26","Rpl22","Abhd14a"
"27","Fosb","Abhd14b"
"28","Rps14","Ablim2"
"29","Ttc3","Acot7"
"30","Ivns1abp","Acpp"
"31","Syncrip","Actr2"
"32","Kcnq1ot1","Acvr2b"
"33","Rps13-ps1","Adam3"
"34","Ktn1","Adam9"
"35","Rpl17-ps8","Adamts3"
"36","Rpl12","Adamts7"
"37","Cnot6l","Adcy7"
"38","Cd27","Add3"
"39","Flt3","Adgre5"
"40","Rsl1d1","Adgrg3"
"41","Sinhcaf","Adgrl2"
"42","Mybbp1a","Adgrl4"
"43","Set","Agap2"
"44","Msh2","Agpat3"
"45","Gm13456","AI429214"
"46","Slc22a3","AI839979"
"47","Rpl13","AI847159"
"48","Abca2","Aim2"
"49","Apex1","Akain1"
"50","Hspa9","Akna"
"51","Thumpd1","Akr1c13"
"52","Rpl7a","Alcam"
"53","Slc38a1","Aldh1b1"
"54","Jun","Alox5ap"
"55","Cct2","Angpt1"
"56","Psmb8","Antkmt"
"57","Npm1","Aopep"
"58","Fabp5","Araf"
"59","Mga","Arap1"
"60","Aff3","Arap3"
"61","Fasn","Arfgap1"
"62","Rps7","Arhgap10"
"63","Ccnd2","Arhgap17"
"64","Phgdh","Arhgap24"
"65","Ikzf2","Arhgap28"
"66","Parp1","Arhgap29"
"67","Dusp2","Arhgap30"
"68","Dntt","Arhgap45"
"69","Rps3a1","Arhgdib"
"70","Pogk","Arhgef17"
"71","Rps20","Arhgef18"
"72","Zfp706","Arhgef4"
"73","Sox4","Arhgef9"
"74","Rpl4","Arid3a"
"75","Eif3e","Arid4b"
"76","Timm23","Arl11"
"77","Serpinf1","Armc3"
"78","Hsp90aa1","Arrdc4"
"79","Wdr43","Asb7"
"80","BC035044","Atp10a"
"81","Gm9531","Atp1a3"
"82","Scd2","Atp1b1"
"83","Rpl36a","Atp2a3"
"84","Gm15459","Atp7a"
"85","Rps21","Atp8b2"
"86","Coro2a","Atxn2"
"87","Stmn1","AU019990"
"88","Zeb2","AY512915"
"89","Cnbp","Azin1"
"90","Hspe1","B4galt4"
"91","2410002F23Rik","Bach2"
"92","Adgrl2","Baiap3"
"93","Eef1a1","Bank1"
