"","RNA","ATAC"
"1","Usp32","1700017B05Rik"
"2","Mxd1","2810013P06Rik"
"3","Tspan33","4833445I07Rik"
"4","Clcn3","6030468B19Rik"
"5","Dennd2c","9530052C20Rik"
"6","Bcl2l1","Abcb9"
"7","Hipk1","Abcf1"
"8","Evi5","Abcg4"
"9","Arrb1","Abhd2"
"10","Atp6v0a1","Acbd4"
"11","Slc16a10","Adam10"
"12","Cpeb4","Adamtsl5"
"13","Btnl10","Akap8l"
"14","Rsad2","Apol8"
"15","Ube2o","Arf5"
"16","Prxl2a","Arfgap2"
"17","Xpo7","Arl6ip1"
"18","Tfrc","Aspm"
"19","Rhag","Atg4d"
"20","Lpin2","Atp8a1"
"21","Fech","Atpif1"
"22","Rab3il1","Atxn7l3"
"23","Alas2","B4galt1"
"24","Snca","Bcas3"
"25","Stradb","Bloodlinc"
"26","Trak2","Blvrb"
"27","Dnajb2","Bola3"
"28","Asb1","Bsdc1"
"29","Cln8","Btg2"
"30","Adipor1","Cabp2"
"31","Spta1","Cachd1"
"32","Dcaf6","Cat"
"33","Stom","Cbx5"
"34","Ube2l6","Ccdc189"
"35","Gpcpd1","Ccnd3"
"36","Slc6a9","Ccndbp1"
"37","Ermap","Cct7"
"38","Epb41","Cd82"
"39","Ulk1","Cdc25b"
"40","Eif2ak1","Cela1"
"41","Art4","Cetn3"
"42","Cdr2","Cfap97"
"43","Otud5","Chek2"
"44","Ank1","Cic"
"45","Abcb10","Cirbp"
"46","Hmbs","Cish"
"47","Dapk2","Cks2"
"48","Tfdp2","Clta"
"49","Ltf","Cpeb3"
"50","Marchf3","Crip2"
"51","Tmem131l","Ctc1"
"52","Slc25a37","Ctsd"
"53","Mtmr3","Ctse"
"54","Bmp2k","Cyb5r3"
"55","Ibtk","Cyth3"
"56","Gadd45a","Dapk2"
"57","Tbcel","Ddx56"
"58","Ranbp10","Dennd10"
"59","Pkhd1l1","Dnajb12"
"60","Wdr26","Dnajc11"
"61","Gcnt1","Dnase2a"
"62","Isg20","Dnpep"
"63","Cpeb3","Ehbp1l1"
"64","Chil3","Eif4enif1"
"65","Bsdc1","Ep400"
"66","Fhdc1","Ermap"
"67","Tmcc2","Etnk1"
"68","Specc1","F930017D23Rik"
"69","Kdm7a","Fam214b"
"70","Sowaha","Fam53a"
"71","Tent5c","Fam72a"
"72","Slc25a51","Fbf1"
"73","Fbxo30","Fhdc1"
"74","Foxo3","Fntb"
"75","Sox6","Ghitm"
"76","Hbb-bs","Gm10371"
"77","Dennd4a","Gm16938"
"78","H2-T24","Gm5475"
"79","S100a8","Gm867"
"80","Gda","Golga7"
"81","Arhgef12","Golph3l"
"82","Ppox","Gpr146"
"83","Hba-a2","Gps2"
"84","Fryl","Grina"
"85","Hbb-bt","Gtpbp1"
"86","Marchf2","H1f1"
"87","Gm29438","H2-T23"
"88","Gm20236","H2bu1-ps"
"89","Gm37094","H2bu2"
"90","Gm37527","Hagh"
"91","Dhrs11","Hba-a1"
"92","Nxpe2","Hbb-bs"
"93","Frmd4a","Hbb-bt"
"94","Ube2h","Hipk4"
"95","1300017J02Rik","Hk1"
"96","Neat1","Ibtk"
"97","Sertad2","Ifrd2"
"98","Hectd4","Inka1"
"99","Herc1","Ino80b"
"100","Ccdc71l","Invs"
"101","Cdc25b","Isca2"
"102","Rnf11","Isg20"
"103","Gypa","Kbtbd12"
"104","Tspo2","Kcnk7"
"105","Tab3","Kdm3a"
"106","Fn3k","Klf3"
"107","E2f2","Kmt2d"
"108","St3gal5","Kpna3"
"109","Map4k5","Lemd2"
"110","Tspan8","Limd1"
"111","Rnf145","Lrig2"
"112","Ypel5","Lrpprc"
"113","Adrb2","Lsm1"
"114","Ip6k1","Lsm8"
"115","Itsn1","Mafg"
"116","Akap7","Mapk8ip3"
"117","Pigq","Marchf3"
"118","Atg4a","Mars1"
"119","Slc16a1","Max"
"120","Bpgm","Mir451b"
"121","Zc3hav1","Mir6953"
"122","Marchf8","Mlx"
"123","D5Ertd579e","Mppe1"
"124","Rmc1","Mst1"
"125","Epb42","Mtmr4"
"126","Suco","Mxd1"
"127","Hba-a1","Myh10"
"128","Kel","Nabp2"
"129","Dcaf12","Narf"
"130","Ncoa4","Ndufv1"
"131","Dnaja4","Nfe2"
"132","Gm37864","Nprl3"
"133","Acsl1","Otub2"
"134","Rhd","Pacsin2"
"135","Slc30a9","Pcf11"
"136","Nt5c3","Pcif1"
"137","Sptb","Pck2"
"138","Fzr1","Pcx"
"139","Fam220a","Pitpnc1"
"140","Carhsp1","Pkd1"
"141","Mylk3","Plekha4"
"142","Add1","Pnkp"
"143","Mkrn1","Pnpla6"
"144","Chac2","Polr2c"
"145","Vopp1","Ppox"
"146","Atp2b4","Ppp1r15a"
"147","Arel1","Ppp1r16a"
"148","Rbm38","Prdx2"
"149","Rffl","Prxl2a"
"150","Isca1","Psmb10"
"151","Azin1","Psph"
"152","Cldn13","Ptp4a3"
"153","Gclm","Pxmp4"
"154","Ctse","Qars"
"155","Camp","Rab18"
"156","Trp53inp1","Rab22a"
"157","Yipf4","Rab43"
"158","Grina","Rad23a"
"159","B230354K17Rik","Rae1"
"160","Trim58","Recql"
"161","Mki67","Rgl1"
"162","Ppp1r15a","Rhd"
"163","Dclk2","Rnf123"
"164","Yod1","Rnf181"
"165","Rnf123","Rpl21"
"166","Eif5","Rps27a"
"167","Ctsb","Runx1"
"168","Macir","Rwdd4a"
"169","Rnf19a","Sdccag8"
"170","Creg1","Sec14l2"
"171","Abcg2","Sema4b"
"172","Slc22a4","Septin1"
"173","Klhl25","Sipa1"
"174","Aqp9","Slc16a3"
"175","Rab43","Slc25a38"
"176","Slc43a1","Slc25a39"
"177","Usp7","Slc29a1"
"178","Prnp","Slc45a4"
"179","Arl4a","Slc46a3"
"180","Leng8","Slc4a1"
"181","Pkn2","Smim3"
"182","Cmas","Snx22"
"183","Uba7","Specc1"
"184","Cul4a","Sphk2"
"185","mt-Atp6","Sppl2b"
"186","Fbxo9","Srsf11"
"187","Rsrp1","Stat3"
"188","Khnyn","Stk11"
"189","Trim10","Syngr1"
"190","Myo1d","Taldo1"
"191","Nfe2","Tbrg4"
"192","Mafg","Tcf3"
"193","Gucd1","Tent5c"
"194","Tut7","Tfg"
"195","Rnf139","Timm8b"
"196","Tnrc6b","Tlcd2"
"197","Rad23a","Tlnrd1"
"198","Otub2","Tm7sf3"
"199","Cpox","Tmc6"
"200","Lyz2","Tmc8"
"201","Serinc1","Tmcc2"
"202","Hectd1","Tmco1"
"203","Sec62","Tmem107"
"204","Tpcn1","Tmem127"
"205","Serinc3","Tmem184a"
"206","Akap13","Tmem234"
"207","Tnfaip2","Tmem86b"
"208","Ppp1cb","Tmem88b"
"209","Dcaf8","Tnk1"
"210","Klhl12","Trappc11"
"211","Bnip3l","Trim10"
"212","Zrsr1","Trim37"
"213","Gapvd1","Trpv2"
"214","Gpr146","Tspan4"
"215","Cdkn1b","Tuba4a"
"216","Slc22a23","Ube2f"
"217","Resf1","Ucp2"
"218","Mfhas1","Uros"
"219","Metap2","Vamp2"
"220","Hagh","Vamp5"
"221","Ogt","Vkorc1l1"
"222","Oas3","Vps54"
"223","Calcoco1","Vsir"
"224","Sh3tc2","Wdr55"
"225","Mmp8","Wdr81"
"226","Cd47","Wwox"
"227","Picalm","Ybx2"
"228","Sppl2b","Ypel5"
"229","Dedd2","Zfp213"
"230","Cd24a","Zfp691"
"231","Pnpo","Zfp91"
"232","Dnajb4","Zswim4"
"233","Vcam1",NA
"234","Cat",NA
"235","Ncoa7",NA
"236","Gypc",NA
"237","Lcor",NA
"238","Vsir",NA
"239","Vangl1",NA
"240","Dyrk3",NA
"241","Brpf3",NA
"242","Cabin1",NA
"243","Malat1",NA
"244","Ube2r2",NA
"245","Ssh1",NA
"246","Phlpp2",NA
"247","Dop1b",NA
"248","Synj1",NA
"249","Afmid",NA
"250","Fam126a",NA
"251","Mindy2",NA
"252","Trim56",NA
"253","Arrdc3",NA
"254","Nadk2",NA
"255","Clk1",NA
"256","Fam234b",NA
"257","Pdzk1ip1",NA
"258","Zfand6",NA
"259","Scarna10",NA
"260","Cyb5a",NA
"261","Rnf10",NA
"262","Riok3",NA
"263","Adam10",NA
"264","Gtpbp2",NA
"265","Mff",NA
"266","Oip5os1",NA
"267","Agpat4",NA
"268","Atg9a",NA
"269","Fam210b",NA
"270","Hs6st1",NA
"271","Agrn",NA
"272","Fn3krp",NA
"273","Tcp11l2",NA
"274","Slc66a2",NA
"275","Memo1",NA
"276","Lcn2",NA
"277","Aqp1",NA
"278","Tinagl1",NA
"279","Snx22",NA
"280","Car2",NA
"281","Ubac1",NA
"282","Arf5",NA
"283","Abtb1",NA
"284","S100a9",NA
"285","Txnrd2",NA
"286","Mylip",NA
"287","Urod",NA
"288","Ache",NA
"289","Mgst3",NA
"290","Abca13",NA
"291","Usp25",NA
"292","Fcho2",NA
"293","Paqr9",NA
"294","Marchf5",NA
"295","Add2",NA
"296","Kif2a",NA
"297","Denn2b",NA
"298","Pheta2",NA
"299","Hemgn",NA
"300","Ccndbp1",NA
"301","Vps13b",NA
"302","Ubap1",NA
"303","Slc25a39",NA
"304","Ago2",NA
"305","Ilrun",NA
"306","Fcnb",NA
"307","Wnk1",NA
"308","Rb1",NA
"309","Klf3",NA
"310","Fbxo42",NA
"311","Map1lc3b",NA
"312","C3",NA
"313","Ppp2r5b",NA
"314","Mcph1",NA
"315","Chd2",NA
"316","Clk3",NA
"317","Fbxo34",NA
"318","Zfp217",NA
"319","St3gal2",NA
"320","Zfp949",NA
"321","Usp15",NA
"322","Ccdc88c",NA
"323","Ubp1",NA
"324","Tmem140",NA
"325","Cnnm2",NA
"326","Arid4b",NA
"327","Pik3r1",NA
"328","Ucp2",NA
"329","Cdk12",NA
"330","Pum1",NA
"331","Prss34",NA
"332","F830112A20Rik",NA
"333","Retnlg",NA
"334","Smox",NA
"335","Ankrd9",NA
"336","Bcas3",NA
"337","Gm37368",NA
"338","Tnfrsf14",NA
"339","Slc15a2",NA
"340","Ngp",NA
"341","Mppe1",NA
"342","Rb1cc1",NA
"343","St3gal6",NA
"344","Hmox1",NA
"345","Slc16a6",NA
"346","Garre1",NA
"347","Kdm6a",NA
"348","Prg2",NA
"349","Rbm5",NA
"350","Med12",NA
"351","Uros",NA
"352","Snx15",NA
"353","Ap4b1",NA
"354","Prpf18",NA
"355","mt-Atp8",NA
"356","Aff1",NA
"357","Tpm1",NA
"358","Nbr1",NA
"359","Hace1",NA
"360","Rbm4",NA
"361","Pcx",NA
"362","Cybb",NA
"363","Gm29216",NA
"364","Gripap1",NA
"365","Psme3",NA
"366","Slfn14",NA
"367","Abcb4",NA
"368","Btg2",NA
"369","Man1a",NA
"370","Odc1",NA
"371","Btrc",NA
"372","Mpp1",NA
"373","Trim59",NA
"374","Lpcat1",NA
"375","Narf",NA
"376","Slc48a1",NA
"377","Pld3",NA
"378","Gm28437",NA
"379","Stk17b",NA
"380","Atp8a1",NA
"381","Cit",NA
"382","Bsg",NA
"383","Kctd20",NA
"384","Cmpk2",NA
"385","Swt1",NA
"386","Mxi1",NA
"387","H2-T23",NA
"388","Smap1",NA
"389","Cd5l",NA
"390","Ypel3",NA
"391","Gm11427",NA
"392","Mettl27",NA
"393","1810058I24Rik",NA
"394","Ezh1",NA
"395","Slc7a5",NA
"396","Mfsd2b",NA
"397","Slc38a9",NA
"398","Fbxo7",NA
"399","Slc1a5",NA
"400","Ube2b",NA
"401","Itgam",NA
"402","A430110L20Rik",NA
"403","Nsmaf",NA
"404","Prdx2",NA
"405","Tor1aip2",NA
"406","Crebbp",NA
"407","Slc4a1",NA
"408","Tmem131",NA
"409","Dpf3",NA
"410","Fbxl3",NA
"411","Tmc8",NA
"412","Tlcd1",NA
"413","Pabpc1",NA
"414","Smg6",NA
"415","Fn1",NA
"416","Slc25a38",NA
"417","Nudt4",NA
"418","Ptdss2",NA
"419","Med13",NA
"420","Zfp207",NA
"421","Ccl6",NA
"422","Rbm33",NA
"423","Wipi2",NA
"424","Mier1",NA
"425","Wdr44",NA
"426","Ces2g",NA
"427","4632427E13Rik",NA
"428","Spire1",NA
"429","Tal1",NA
"430","Pnpla8",NA
"431","Slc43a3",NA
"432","Galnt10",NA
"433","Ifnar1",NA
"434","Ninl",NA
"435","Mrm1",NA
"436","Ghitm",NA
"437","Slc44a1",NA
"438","Ank",NA
"439","Tax1bp1",NA
"440","Zfp874b",NA
"441","Gm49342",NA
"442","Rc3h1",NA
"443","Osbpl8",NA
"444","Cd59a",NA
