"","RNA","ATAC"
"1","Procr","Cbx5"
"2","Gm14098","Dapp1"
"3","Gm867","Cetn3"
"4","D630044L22Rik","Klf6"
"5","Synb","Aspm"
"6","Brinp2","Eldr"
"7","1810053B23Rik","Sdccag8"
"8","Gm10259","Rps27a"
"9","Ttc39aos1","Lsm8"
"10","Mst1","Ghitm"
"11","1700034H15Rik","Invs"
"12","Icam5","Mob3a"
"13","Gm26588","Rab18"
"14","Bcas3os1","Chek2"
"15","Timd4","Bnip3l"
"16","Gm11439","Kcnn4"
"17","Gm10371","Cks2"
"18","Gm10715","Ercc5"
"19","Trpv5","Fbxo40"
"20","Rpl13-ps1","Sp100"
"21","Hbq1a","Ift172"
"22","Gm3513","Ddx56"
"23","Gm15815","Tmem123"
"24","Gm28539","Nabp2"
"25","Ctcflos","Rara"
"26","Mmel1","Nfx1"
"27","Gm28635","H2ac4"
"28","Nap1l3","Cfap97"
"29","Prex2","Crem"
"30","Slfn14","Mmd"
"31","Ypel4","Actr6"
"32","Hba-a1","Marchf3"
"33","Mageb16","Dym"
"34","Tnip3","Recql"
"35","Tmod1","Lrpprc"
"36","Clec1a","Usp1"
"37","Gas6","Ptgs2"
"38","Hba-a2",NA
"39","Galnt2",NA
"40","A730036I17Rik",NA
"41","F930017D23Rik",NA
"42","Slc4a1",NA
"43","Apol11a",NA
"44","Postn",NA
"45","Slc2a4",NA
"46","Ppp1r16b",NA
"47","Gm20236",NA
"48","Gm37094",NA
"49","Hbb-bs",NA
"50","Nrip3",NA
"51","Hbq1b",NA
"52","Hbb-bt",NA
"53","Nhlrc4",NA
"54","Ackr1",NA
"55","Fer1l6",NA
"56","Trim10",NA
"57","Gm4841",NA
"58","Epb42",NA
"59","mt-Nd4l",NA
"60","Apol10a",NA
"61","Pygm",NA
"62","Gria2",NA
"63","Tent5c",NA
"64","H2ac23",NA
"65","Gm29438",NA
"66","Iqcd",NA
"67","Ifi44",NA
"68","Tmcc2",NA
"69","Cd36",NA
"70","Rhag",NA
"71","Aldoc",NA
"72","Patj",NA
"73","Sdc4",NA
"74","Tspo2",NA
"75","Nrk",NA
"76","Gm4951",NA
"77","Crispld1",NA
"78","Slc6a9",NA
"79","mt-Atp6",NA
"80","Gm17193",NA
"81","Hes1",NA
"82","Myof",NA
"83","Ank1",NA
"84","Tspan33",NA
"85","Tspan8",NA
"86","Dapk2",NA
"87","Spta1",NA
"88","Kel",NA
"89","Pabpc4l",NA
"90","Dennd2c",NA
"91","Gimap8",NA
"92","Sptb",NA
"93","Gypa",NA
"94","Mylk3",NA
"95","Snca",NA
"96","Slc30a10",NA
"97","Mamdc2",NA
"98","Cyp4b1-ps2",NA
"99","Cpeb3",NA
"100","Galnt5",NA
"101","Edar",NA
"102","Dpf3",NA
"103","1300017J02Rik",NA
"104","Btnl10",NA
"105","Sema3d",NA
"106","Cdr2",NA
"107","Gm27177",NA
"108","Capsl",NA
"109","Apol7e",NA
"110","Gm37527",NA
"111","Trim58",NA
"112","Slc22a4",NA
"113","Pdia2",NA
"114","Nxpe2",NA
"115","Gm10642",NA
"116","Emp1",NA
"117","Nr4a1",NA
"118","Ccser1",NA
"119","Ache",NA
"120","Chl1",NA
"121","Rhd",NA
"122","Ttll7",NA
"123","Zfp532",NA
"124","Ctse",NA
"125","Evc2",NA
"126","Slc16a12",NA
"127","Apob",NA
"128","Plcl1",NA
"129","Samd11",NA
"130","Zfp30",NA
"131","Il10",NA
"132","Cecr2",NA
"133","St3gal5",NA
"134","Marchf2",NA
"135","Gpc4",NA
"136","Chrnb1",NA
"137","Ermap",NA
"138","Fgf11",NA
"139","Gm23119",NA
"140","Ltb",NA
"141","Dmtn",NA
"142","Fhdc1",NA
"143","Paqr9",NA
"144","Ube2o",NA
"145","Bcl2l1",NA
"146","Fn3k",NA
"147","Hmbs",NA
"148","St8sia1",NA
"149","Atp6v0a1",NA
"150","Bgn",NA
"151","Snx22",NA
"152","Abcb6",NA
"153","Asb1",NA
"154","Abcb10",NA
"155","Specc1",NA
"156","Sh3tc2",NA
"157","Alas2",NA
"158","Marchf3",NA
"159","Col4a2",NA
"160","Apol8",NA
"161","Mapk12",NA
"162","Rsad2",NA
"163","Iigp1",NA
"164","Slc25a37",NA
"165","Rora",NA
"166","Xpo7",NA
"167","Fech",NA
"168","Ephb4",NA
"169","Bpgm",NA
"170","Spint1",NA
"171","Denn2b",NA
"172","Ranbp10",NA
"173","Cpeb4",NA
"174","Slc22a23",NA
"175","Kcnd3",NA
"176","Cacna1a",NA
"177","Lax1",NA
"178","Txnrd2",NA
"179","Tfrc",NA
"180","Neb",NA
"181","Gm14418",NA
"182","Gask1b",NA
"183","Mfsd2b",NA
"184","Adarb1",NA
"185","Slc6a20a",NA
"186","Slc38a5",NA
"187","Spo11",NA
"188","Tro",NA
"189","Dennd4a",NA
"190","Gm37873",NA
"191","Zdhhc14",NA
"192","Gm9522",NA
"193","Slc43a1",NA
"194","Grap2",NA
"195","Ecscr",NA
"196","Kcnq3",NA
"197","Sox6",NA
"198","Hectd4",NA
"199","C630004M23Rik",NA
"200","H2bu2",NA
"201","Pigq",NA
"202","Blvrb",NA
"203","Parvb",NA
"204","Cacna1e",NA
"205","Aoc3",NA
"206","Adnp",NA
"207","Add2",NA
"208","Epb41",NA
"209","Flrt3",NA
"210","E2f2",NA
"211","Mgll",NA
"212","Cldn13",NA
"213","F13a1",NA
"214","Dst",NA
"215","Pkhd1l1",NA
"216","Gm36948",NA
"217","Yes1",NA
"218","Igsf10",NA
"219","Isg20",NA
"220","Dhrs11",NA
"221","Fzr1",NA
"222","Lzts1",NA
"223","Trak2",NA
"224","Marchf8",NA
"225","Ifi209",NA
"226","Ppfia4",NA
"227","Eps8l2",NA
"228","Syt14",NA
"229","Gm37469",NA
"230","Lhcgr",NA
"231","Slc16a10",NA
"232","Clgn",NA
"233","Prxl2a",NA
"234","Smarca1",NA
"235","Myo1d",NA
"236","Gm13542",NA
"237","Stom",NA
"238","Ap3s1",NA
"239","BC021767",NA
"240","Gpcpd1",NA
"241","Rab30",NA
"242","Ppargc1a",NA
"243","Bdh2",NA
"244","Ccnjl",NA
"245","Ugt1a1",NA
"246","Hlf",NA
"247","Usp32",NA
"248","Gm7701",NA
"249","Vegfd",NA
"250","Fam210b",NA
"251","Col4a1",NA
"252","Ly6a",NA
"253","Ccdc149",NA
"254","Mpdz",NA
"255","Cmtm8",NA
"256","Chac2",NA
"257","Fgd6",NA
"258","Ppox",NA
"259","BC034090",NA
"260","Tpcn1",NA
"261","Ces2g",NA
"262","Sowaha",NA
"263","Csad",NA
"264","Tifab",NA
"265","H2-T24",NA
"266","Myh10",NA
"267","Dnajb2",NA
"268","Rpl15-ps3",NA
"269","Abcb9",NA
"270","Cachd1",NA
"271","Hadhb-ps",NA
"272","Chst10",NA
"273","Fam205a1",NA
"274","P2ry10",NA
"275","Gstp3",NA
"276","Nbea",NA
"277","Gm37864",NA
"278","Optn",NA
"279","Plxdc2",NA
"280","C4b",NA
"281","Gm28857",NA
"282","Gm29216",NA
"283","Pcx",NA
"284","Mpo",NA
"285","Abcg4",NA
"286","Uros",NA
"287","Speg",NA
"288","Gm10722",NA
"289","Gm22154",NA
"290","C030037D09Rik",NA
"291","Tox",NA
"292","Aqp1",NA
"293","Tnfaip2",NA
"294","F830112A20Rik",NA
"295","Clcn3",NA
"296","Tnfsf11",NA
"297","Ttc39a",NA
"298","A930024E05Rik",NA
"299","Samd14",NA
"300","Plag1",NA
"301","Urod",NA
"302","Rbm38",NA
"303","Gata1",NA
"304","Metap2",NA
"305","Adam22",NA
"306","Nxpe4",NA
"307","Slc45a3",NA
"308","Dok4",NA
"309","Stradb",NA
"310","Slc16a1",NA
"311","Spire1",NA
"312","Bsdc1",NA
"313","Abcb4",NA
"314","Mfhas1",NA
"315","Wfdc2",NA
"316","Cpox",NA
"317","Ninl",NA
"318","Car5b",NA
"319","Slc25a21",NA
"320","mt-Co2",NA
"321","Gm11346",NA
"322","Rab3il1",NA
"323","Paqr5",NA
"324","A430110L20Rik",NA
"325","Eif2ak1",NA
"326","F3",NA
"327","C430014B12Rik",NA
"328","B630019K06Rik",NA
"329","Ubac1",NA
"330","Rian",NA
"331","Mical3",NA
"332","Tfdp2",NA
"333","Mkrn1",NA
"334","Sik1",NA
"335","Tnfrsf14",NA
"336","Tlcd4",NA
"337","Acsl1",NA
"338","Cd276",NA
"339","B4galnt4",NA
"340","Gm28661",NA
"341","Cdcp1",NA
"342","Coro2b",NA
"343","Sla2",NA
"344","Slc25a51",NA
"345","Gm5111",NA
"346","Cln8",NA
"347","Cacna1g",NA
"348","Atg4a",NA
"349","Fam220a",NA
"350","Pitx2",NA
"351","Gm10800",NA
"352","Tbcel",NA
"353","Gm16867",NA
"354","Macir",NA
"355","Gm7399",NA
"356","Slc22a18",NA
"357","Fgfr3",NA
"358","Gm33280",NA
"359","Carhsp1",NA
"360","Phospho1",NA
"361","Endod1",NA
"362","Rasgef1b",NA
"363","Kitl",NA
"364","Smim1",NA
"365","Rtl5",NA
"366","Tlcd1",NA
"367","Vldlr",NA
"368","Nt5c3",NA
"369","Dnaja4",NA
"370","Ptdss2",NA
"371","Chic1",NA
"372","Gm38046",NA
"373","Socs3",NA
"374","Gbp2",NA
"375","Grina",NA
"376","Kcnj5",NA
"377","Gm16070",NA
"378","C1qa",NA
"379","Pcdhga6",NA
"380","Ccr2",NA
"381","Prkag2",NA
"382","Mmrn1",NA
"383","C1qb",NA
"384","Perm1",NA
"385","Itga2b",NA
"386","Foxa3",NA
"387","Rnf123",NA
"388","Zcchc18",NA
"389","Ccdc30",NA
"390","H1f4",NA
"391","Gm38115",NA
"392","Slc26a11",NA
"393","St3gal6",NA
"394","Fam214b",NA
"395","Lynx1",NA
"396","Podnl1",NA
"397","Gm8108",NA
"398","Fbxo30",NA
"399","Csf1r",NA
"400","Tcf15",NA
"401","Zfp831",NA
"402","Gm43302",NA
"403","Emilin2",NA
"404","Gm10110",NA
"405","Ndnf",NA
"406","Plpp1",NA
"407","Evi5",NA
"408","Lurap1",NA
"409","Rab44",NA
"410","Gm28941",NA
"411","C77080",NA
"412","Ifi207",NA
"413","Ly86",NA
"414","Ublcp1",NA
"415","Gm7099",NA
"416","Eps8",NA
"417","Sytl5",NA
"418","Mpp2",NA
"419","Ldhb",NA
"420","Tgtp1",NA
"421","Gm38197",NA
"422","Noct",NA
"423","Sppl2b",NA
"424","9830144P21Rik",NA
"425","Rad23a",NA
"426","Gm15787",NA
"427","mt-Co1",NA
"428","Lpin2",NA
"429","Cdc25b",NA
"430","Otud3",NA
"431","Hspbap1",NA
"432","Ube2l6",NA
"433","Klhl12",NA
"434","Adgrd1",NA
"435","Dzip1",NA
"436","Dcaf6",NA
"437","Slc40a1",NA
"438","Gm29718",NA
"439","Nrp1",NA
"440","Pcdhga10",NA
"441","Slc7a5",NA
"442","5830405F06Rik",NA
"443","3010003L21Rik",NA
"444","Arl4a",NA
"445","Clec14a",NA
"446","Dnaaf3",NA
"447","Hemgn",NA
"448","Tcp11l2",NA
"449","Ms4a2",NA
"450","Mpl",NA
"451","AW011738",NA
"452","Unc5cl",NA
"453","Gadd45a",NA
"454","Aoc2",NA
"455","Dusp5",NA
"456","Gm12663",NA
"457","Fam126a",NA
"458","Arap3",NA
"459","Gm38302",NA
"460","H3c8",NA
"461","Kbtbd11",NA
"462","Nwd1",NA
"463","Teddm2",NA
"464","Rab7b",NA
"465","Fryl",NA
"466","Garem1",NA
"467","Cadps2",NA
"468","Ndn",NA
"469","Fam241a",NA
"470","Gm37368",NA
"471","Klhl25",NA
"472","Tmem120b",NA
"473","Sphk1",NA
"474","Dnajb3",NA
"475","Gm38070",NA
"476","Snx15",NA
"477","Cd96",NA
