"","RNA","ATAC"
"1","Procr","Actr6"
"2","Gm10259","Aspm"
"3","Nap1l3","Cbx5"
"4","Prex2","Cetn3"
"5","Tnip3","Cfap97"
"6","Clec1a","Chek2"
"7","Gas6","Crem"
"8","Galnt2","Ddx56"
"9","Postn","Eldr"
"10","Ppp1r16b","Ercc5"
"11","Gm4841","Ghitm"
"12","Pygm","Ift172"
"13","Gria2","Invs"
"14","Ifi44","Klf6"
"15","Aldoc","Lsm8"
"16","Patj","Marchf3"
"17","Sdc4","Mmd"
"18","Nrk","Nabp2"
"19","Gm4951","Nfx1"
"20","Crispld1","Ptgs2"
"21","Hes1","Rab18"
"22","Myof","Recql"
"23","Pabpc4l","Rps27a"
"24","Gimap8","Sdccag8"
"25","Mamdc2","Sp100"
"26","Galnt5","Tmem123"
"27","Edar","Usp1"
"28","Sema3d",NA
"29","Capsl",NA
"30","Apol7e",NA
"31","Emp1",NA
"32","Nr4a1",NA
"33","Ccser1",NA
"34","Chl1",NA
"35","Ttll7",NA
"36","Zfp532",NA
"37","Evc2",NA
"38","Slc16a12",NA
"39","Apob",NA
"40","Plcl1",NA
"41","Zfp30",NA
"42","Il10",NA
"43","Chrnb1",NA
"44","Fgf11",NA
"45","Ltb",NA
"46","St8sia1",NA
"47","Bgn",NA
"48","Col4a2",NA
"49","Mapk12",NA
"50","Iigp1",NA
"51","Rora",NA
"52","Ephb4",NA
"53","Spint1",NA
"54","Kcnd3",NA
"55","Cacna1a",NA
"56","Lax1",NA
"57","Neb",NA
"58","Gm14418",NA
"59","Gask1b",NA
"60","Adarb1",NA
"61","Spo11",NA
"62","Tro",NA
"63","Ecscr",NA
"64","Adnp",NA
"65","Flrt3",NA
"66","Dst",NA
"67","Yes1",NA
"68","Igsf10",NA
"69","Lzts1",NA
"70","Eps8l2",NA
"71","Gm37469",NA
"72","Lhcgr",NA
"73","Smarca1",NA
"74","Ppargc1a",NA
"75","Bdh2",NA
"76","Ccnjl",NA
"77","Hlf",NA
"78","Col4a1",NA
"79","Ly6a",NA
"80","Ccdc149",NA
"81","Mpdz",NA
"82","Cmtm8",NA
"83","BC034090",NA
"84","Csad",NA
"85","Rpl15-ps3",NA
"86","P2ry10",NA
"87","Nbea",NA
"88","Plxdc2",NA
"89","C4b",NA
"90","Speg",NA
"91","C030037D09Rik",NA
"92","Tox",NA
"93","Tnfsf11",NA
"94","A930024E05Rik",NA
"95","Plag1",NA
"96","Adam22",NA
"97","Wfdc2",NA
"98","Car5b",NA
"99","Gm11346",NA
"100","Paqr5",NA
"101","F3",NA
"102","B630019K06Rik",NA
"103","Rian",NA
"104","Sik1",NA
"105","Cd276",NA
"106","B4galnt4",NA
"107","Cdcp1",NA
"108","Coro2b",NA
"109","Sla2",NA
"110","Gm5111",NA
"111","Pitx2",NA
"112","Slc22a18",NA
"113","Fgfr3",NA
"114","Rtl5",NA
"115","Vldlr",NA
"116","Chic1",NA
"117","Socs3",NA
"118","Gbp2",NA
"119","Gm16070",NA
"120","Pcdhga6",NA
"121","Prkag2",NA
"122","Mmrn1",NA
"123","Foxa3",NA
"124","Zcchc18",NA
"125","Ccdc30",NA
"126","Slc26a11",NA
"127","Lynx1",NA
"128","Podnl1",NA
"129","Gm8108",NA
"130","Tcf15",NA
"131","Zfp831",NA
"132","Gm43302",NA
"133","Ndnf",NA
"134","Lurap1",NA
"135","C77080",NA
"136","Eps8",NA
"137","Sytl5",NA
"138","Ldhb",NA
"139","Tgtp1",NA
"140","Gm38197",NA
"141","Otud3",NA
"142","Adgrd1",NA
"143","Dzip1",NA
"144","Pcdhga10",NA
"145","5830405F06Rik",NA
"146","3010003L21Rik",NA
"147","Clec14a",NA
"148","Dnaaf3",NA
"149","Mpl",NA
"150","Dusp5",NA
"151","Kbtbd11",NA
"152","Nwd1",NA
"153","Cadps2",NA
"154","Ndn",NA
"155","Cd96",NA
