"","col1","col2"
"1","Gm14098","Bnip3l"
"2","Gm867","Cks2"
"3","D630044L22Rik","H2ac4"
"4","Synb","Lrpprc"
"5","Brinp2","Rara"
"6","1810053B23Rik",NA
"7","Ttc39aos1",NA
"8","Mst1",NA
"9","1700034H15Rik",NA
"10","Icam5",NA
"11","Gm26588",NA
"12","Bcas3os1",NA
"13","Timd4",NA
"14","Gm11439",NA
"15","Gm10371",NA
"16","Gm10715",NA
"17","Trpv5",NA
"18","Rpl13-ps1",NA
"19","Hbq1a",NA
"20","Gm3513",NA
"21","Gm15815",NA
"22","Gm28539",NA
"23","Ctcflos",NA
"24","Mmel1",NA
"25","Gm28635",NA
"26","Slfn14",NA
"27","Ypel4",NA
"28","Hba-a1",NA
"29","Mageb16",NA
"30","Tmod1",NA
"31","Hba-a2",NA
"32","A730036I17Rik",NA
"33","F930017D23Rik",NA
"34","Slc4a1",NA
"35","Apol11a",NA
"36","Slc2a4",NA
"37","Gm20236",NA
"38","Gm37094",NA
"39","Hbb-bs",NA
"40","Nrip3",NA
"41","Hbq1b",NA
"42","Hbb-bt",NA
"43","Nhlrc4",NA
"44","Ackr1",NA
"45","Fer1l6",NA
"46","Trim10",NA
"47","Epb42",NA
"48","mt-Nd4l",NA
"49","Apol10a",NA
"50","Tent5c",NA
"51","H2ac23",NA
"52","Gm29438",NA
"53","Iqcd",NA
"54","Tmcc2",NA
"55","Cd36",NA
"56","Rhag",NA
"57","Tspo2",NA
"58","Slc6a9",NA
"59","mt-Atp6",NA
"60","Gm17193",NA
"61","Ank1",NA
"62","Tspan33",NA
"63","Tspan8",NA
"64","Dapk2",NA
"65","Spta1",NA
"66","Kel",NA
"67","Dennd2c",NA
"68","Sptb",NA
"69","Gypa",NA
"70","Mylk3",NA
"71","Snca",NA
"72","Slc30a10",NA
"73","Cyp4b1-ps2",NA
"74","Cpeb3",NA
"75","Dpf3",NA
"76","1300017J02Rik",NA
"77","Btnl10",NA
"78","Cdr2",NA
"79","Gm27177",NA
"80","Gm37527",NA
"81","Trim58",NA
"82","Slc22a4",NA
"83","Pdia2",NA
"84","Nxpe2",NA
"85","Gm10642",NA
"86","Ache",NA
"87","Rhd",NA
"88","Ctse",NA
"89","Samd11",NA
"90","Cecr2",NA
"91","St3gal5",NA
"92","Marchf2",NA
