,Gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
17561,ENSMUSG00000100992,Gm23925,79.07564279,22.8309844,3.15614605,7.233817459,4.70E-13,7.83E-09
8500,ENSMUSG00000036882,Arhgap33,567.5349923,4.862221986,0.741663498,6.555832937,5.53E-11,4.61E-07
6487,ENSMUSG00000030724,Cd19,185.3909649,11.19132616,1.809086264,6.186176071,6.16E-10,3.43E-06
5338,ENSMUSG00000028175,Depdc1a,6115.273624,3.858493427,0.660478656,5.84196536,5.16E-09,2.15E-05
7095,ENSMUSG00000032053,Pou2af1,227.4472153,7.402402929,1.303842477,5.677375188,1.37E-08,4.37E-05
122,ENSMUSG00000000903,Vpreb3,129.2209881,10.67047886,1.88825917,5.650960962,1.60E-08,4.37E-05
4673,ENSMUSG00000026708,Cenpl,2807.344128,4.129010012,0.733769242,5.627123318,1.83E-08,4.37E-05
9055,ENSMUSG00000038587,Akap12,416.0912261,5.159912539,0.943135887,5.47101707,4.47E-08,9.33E-05
7710,ENSMUSG00000033952,Aspm,23565.11743,3.421976464,0.633818252,5.398986936,6.70E-08,0.000124177
5194,ENSMUSG00000027863,Cd2,163.2214368,8.257628876,1.560262365,5.292461743,1.21E-07,0.000201247
3824,ENSMUSG00000024766,Lipo3,116.1218354,-10.20027011,1.952633884,-5.223851842,1.75E-07,0.000253672
4970,ENSMUSG00000027347,Rasgrp1,175.2153086,7.009607903,1.348044427,5.19983449,1.99E-07,0.000253672
8467,ENSMUSG00000036777,Anln,17783.67603,3.70326242,0.71317487,5.192642891,2.07E-07,0.000253672
9780,ENSMUSG00000041064,Pif1,2258.829122,3.402140784,0.655815539,5.187648939,2.13E-07,0.000253672
2127,ENSMUSG00000020493,Prr11,2938.403014,3.373740564,0.66957887,5.038600701,4.69E-07,0.000521345
10335,ENSMUSG00000043635,Adamts3,140.0770937,-10.47129833,2.097504561,-4.992264868,5.97E-07,0.000588721
8761,ENSMUSG00000037754,Ppp1r16b,109.3709189,7.257276387,1.459369345,4.972885316,6.60E-07,0.000588721
8765,ENSMUSG00000037772,Mrpl23,93.23526742,-9.883073728,1.988025797,-4.971300544,6.65E-07,0.000588721
12362,ENSMUSG00000057337,Chst3,162.070323,6.747596942,1.357763169,4.969642051,6.71E-07,0.000588721
8072,ENSMUSG00000035164,Zc3h12c,89.32770957,-9.8212952,2.001840206,-4.906133453,9.29E-07,0.000721927
698,ENSMUSG00000005233,Spc25,4114.411746,3.091202533,0.631587416,4.89433838,9.86E-07,0.000721927
9166,ENSMUSG00000038943,Prc1,26795.38209,3.54111093,0.723698397,4.893075544,9.93E-07,0.000721927
9239,ENSMUSG00000039167,Adgrl4,2294.24719,-5.152775891,1.053201954,-4.892486073,9.96E-07,0.000721927
3631,ENSMUSG00000024301,Kifc5b,3441.708356,3.740490222,0.776786468,4.815339059,1.47E-06,0.000986098
4864,ENSMUSG00000027115,Kif18a,6405.369601,3.274384923,0.680159261,4.814144439,1.48E-06,0.000986098
2664,ENSMUSG00000021643,Serf1,133.3995575,-10.400829,2.181772476,-4.767146492,1.87E-06,0.001037667
4703,ENSMUSG00000026770,Il2ra,77.79730968,9.937829561,2.085402845,4.76542438,1.88E-06,0.001037667
4121,ENSMUSG00000025401,Myo1a,73.35645371,9.853639844,2.068654744,4.763308074,1.90E-06,0.001037667
519,ENSMUSG00000003559,As3mt,210.6767499,-5.060180614,1.062468204,-4.762665456,1.91E-06,0.001037667
7617,ENSMUSG00000033589,Reep4,832.5589365,3.326088984,0.699407566,4.7555805,1.98E-06,0.001037667
8992,ENSMUSG00000038421,Fcrla,256.0675851,4.644586604,0.977198208,4.75296267,2.00E-06,0.001037667
17676,ENSMUSG00000102179,Gm37868,375.9855063,4.427788886,0.932128316,4.750192446,2.03E-06,0.001037667
10975,ENSMUSG00000047534,Mis18bp1,8871.038669,2.962753665,0.623988066,4.748093479,2.05E-06,0.001037667
13160,ENSMUSG00000064141,Zfp69,84.52155367,-9.739560903,2.054165071,-4.741372074,2.12E-06,0.00104115
3682,ENSMUSG00000024420,Zfp521,104.6704573,-10.05119834,2.131096763,-4.716443909,2.40E-06,0.001143509
6990,ENSMUSG00000031851,Ntpcr,112.0225559,-7.547563621,1.615883884,-4.670857662,3.00E-06,0.001362848
373,ENSMUSG00000002565,Scin,103.9089064,-10.04067879,2.150409192,-4.669194509,3.02E-06,0.001362848
9884,ENSMUSG00000041498,Kif14,12290.85379,3.466092336,0.744644673,4.654692986,3.24E-06,0.001423884
7177,ENSMUSG00000032263,Bckdhb,74.88039537,-9.56637789,2.059422336,-4.645175359,3.40E-06,0.001452897
1461,ENSMUSG00000017009,Sdc4,125.1265267,6.502008671,1.40757187,4.619308475,3.85E-06,0.001605153
4956,ENSMUSG00000027326,Knl1,29202.56748,2.95530116,0.643593451,4.591875751,4.39E-06,0.001750764
4631,ENSMUSG00000026622,Nek2,4107.931834,2.936695911,0.639651687,4.591086013,4.41E-06,0.001750764
9815,ENSMUSG00000041219,Arhgap11a,5981.197315,2.856456616,0.624545274,4.573658206,4.79E-06,0.001844705
2126,ENSMUSG00000020492,Ska2,2504.216486,3.009812461,0.658540647,4.57042777,4.87E-06,0.001844705
4922,ENSMUSG00000027254,Map1a,64.7500171,9.674154252,2.127697007,4.546772505,5.45E-06,0.002018716
17113,ENSMUSG00000097493,9930014A18Rik,76.64984155,-9.601521841,2.119354162,-4.53039988,5.89E-06,0.002131733
10774,ENSMUSG00000046295,Ankle1,4185.155788,4.023852865,0.889825063,4.522071844,6.12E-06,0.002131733
3231,ENSMUSG00000022824,Muc13,1140.60001,-5.720967537,1.265239003,-4.521649682,6.14E-06,0.002131733
11523,ENSMUSG00000051098,Mblac2,70.83226025,-9.487304155,2.117337114,-4.480771669,7.44E-06,0.002530085
17285,ENSMUSG00000098090,2700099C18Rik,839.5615877,3.100918175,0.693151602,4.473650738,7.69E-06,0.002530085
4312,ENSMUSG00000025931,Paqr8,67.11834604,-9.40830605,2.103676898,-4.472315144,7.74E-06,0.002530085
1233,ENSMUSG00000014453,Blk,64.93101996,9.678673527,2.166681155,4.467050218,7.93E-06,0.002543267
16705,ENSMUSG00000094595,Fsbp,205.9619389,4.382491802,0.989980019,4.426848741,9.56E-06,0.002986166
303,ENSMUSG00000002055,Spag5,10467.69005,3.369508335,0.762229881,4.420593337,9.84E-06,0.002986166
2968,ENSMUSG00000022309,Angpt1,2560.491201,-5.235888122,1.184465227,-4.420465882,9.85E-06,0.002986166
7527,ENSMUSG00000033191,Tie1,76.35639429,-9.596314577,2.177089268,-4.407864537,1.04E-05,0.003088673
9696,ENSMUSG00000040715,Rsc1a1,64.66993035,-9.35411479,2.124740545,-4.402473897,1.07E-05,0.003088673
18299,ENSMUSG00000104342,Gm36401,430.3045849,3.906756846,0.887564368,4.401660303,1.07E-05,0.003088673
14150,ENSMUSG00000074158,Zfp976,110.0387137,-7.504268451,1.718599677,-4.366501724,1.26E-05,0.003568446
11014,ENSMUSG00000047766,Lrrc49,65.9930593,-9.38532883,2.152890533,-4.359408286,1.30E-05,0.003614897
