"","Gene","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5127","ENSMUSG00000027684","Mecom",2933.35148546912,-3.90379945641516,0.227175843145579,-17.1840429966558,3.4966956617876e-66,6.11746906029741e-62
"13176","ENSMUSG00000064262","Gimap8",1837.26971149579,-3.80225642161689,0.258393498457287,-14.7149848750757,5.16577829354449e-49,4.51876456227805e-45
"16665","ENSMUSG00000094248","H2ac23",2463.28248501303,11.2159788340989,0.799004724602427,14.0374374377821,9.19788002514401e-45,5.36389703466315e-41
"9551","ENSMUSG00000040254","Sema3d",1105.23800602508,-5.86441149892555,0.433984433821406,-13.5129535575437,1.31152208891504e-41,5.73626973639217e-38
"2542","ENSMUSG00000021360","Gcnt2",10743.2571765423,-2.0888544679791,0.155562514864049,-13.4277494151121,4.15858788472629e-41,1.45508990086573e-37
"11030","ENSMUSG00000047867","Gimap6",8602.08482945339,-2.35628624973193,0.176954354576167,-13.3157856181364,1.87390856192344e-40,5.46400504847511e-37
"767","ENSMUSG00000005800","Mmp8",1602.25122025735,-3.95487672748051,0.305951556632564,-12.9264801624467,3.19096027347788e-38,7.9751214263565e-35
"14560","ENSMUSG00000078606","Gvin2",14535.7796972056,-2.20835289375342,0.172118161143288,-12.8304467064052,1.10723926415027e-37,2.42139386578862e-34
"557","ENSMUSG00000003949","Hlf",6431.58265115109,-2.94895378547667,0.232682639601847,-12.6737163998257,8.27013982749293e-37,1.6076232920221e-33
"10711","ENSMUSG00000045868","Gvin1",25578.0866850475,-1.50980934856767,0.131259734644732,-11.5024561999468,1.28214066928593e-30,2.24310510091573e-27
"11941","ENSMUSG00000054072","Iigp1",1601.184766345,-3.32054630417116,0.289224584326294,-11.4808577282802,1.64639056438646e-30,2.61850935672191e-27
"4212","ENSMUSG00000025647","Shisa5",3629.18475976785,-2.41016888807339,0.210948567450539,-11.4253863735694,3.12263663207483e-30,4.55254398984576e-27
"9239","ENSMUSG00000039167","Adgrl4",43438.9016209373,-1.58694969493626,0.139882332931777,-11.3448901063885,7.86249559619664e-30,1.058110465042e-26
"3330","ENSMUSG00000023034","Nr4a1",5978.69252941779,-3.34330190764896,0.29797283598709,-11.220156685,3.24694653411619e-29,4.05752354388305e-26
"10420","ENSMUSG00000044162","Tnip3",1090.61325452303,-3.63800968810798,0.328281486717264,-11.0819824915721,1.5343694437062e-28,1.78958622784266e-25
"3954","ENSMUSG00000025014","Dntt",12374.2954071212,-2.04487181864238,0.185305108245959,-11.0351616207373,2.58586175094496e-28,2.82747820829888e-25
"14766","ENSMUSG00000079563","Pglyrp2",1388.24794233457,-3.24453539035085,0.29787777442759,-10.8921701076411,1.25610903778983e-27,1.29268397741959e-24
"4766","ENSMUSG00000026872","Zeb2",16314.1947997039,1.50251152598605,0.141300596817824,10.6334407626261,2.08283397216312e-26,2.0243989079441e-23
"10115","ENSMUSG00000042439","Zfp532",860.435960938985,-3.31499503591099,0.312878458971945,-10.5951526570522,3.13828547563745e-26,2.88970023138301e-23
"6790","ENSMUSG00000031451","Gas6",396.03630405712,-5.30826365978587,0.501348781305775,-10.5879656193845,3.3887649380542e-26,2.96432212956291e-23
"3906","ENSMUSG00000024924","Vldlr",3364.45975674709,-2.48343004896185,0.241366277991649,-10.2890514351295,7.89502791125363e-25,6.57731015749439e-22
"4247","ENSMUSG00000025776","Crispld1",1274.74492169838,-2.96808845248972,0.292865858226818,-10.1346345745464,3.87820891459904e-24,3.08405749822319e-21
"3137","ENSMUSG00000022651","Retnlg",746.93700246039,-4.59093310557049,0.453242677855339,-10.1290838878941,4.10477060594014e-24,3.12230268482273e-21
"3672","ENSMUSG00000024399","Ltb",482.503893771989,-5.02207999913735,0.500301221636281,-10.0381126048667,1.03638126220982e-23,7.55478757598363e-21
"5487","ENSMUSG00000028497","Hacd4",1591.87712691723,-2.73312583342777,0.272680865308361,-10.0231669366936,1.20576167146571e-23,8.43792017691704e-21
"9522","ENSMUSG00000040152","Thbs1",788.533449327045,-3.8929257709077,0.392634684314522,-9.91487997985743,3.58687289150396e-23,2.41355158603314e-20
"5088","ENSMUSG00000027611","Procr",1010.46089447804,-5.37460805102015,0.546143726483037,-9.84101398661234,7.49515687494541e-23,4.85658405656185e-20
"14393","ENSMUSG00000075602","Ly6a",495.52068946343,-4.16268169196739,0.4237854747864,-9.82261530805297,8.99783457453848e-23,5.62203985291253e-20
"1547","ENSMUSG00000017978","Cadps2",859.684962141743,-3.24237888785882,0.330715426207801,-9.80413561301948,1.08068265755074e-22,6.51949761856901e-20
"14639","ENSMUSG00000078922","Tgtp1",3726.38404469323,-2.7178939722234,0.277695162083371,-9.78732921320186,1.2762238316311e-22,7.44251197812867e-20
"4409","ENSMUSG00000026131","Dst",5101.6259408791,-2.28902324589335,0.234070375478303,-9.77920952711733,1.38286318030568e-22,7.74881517762446e-20
"1461","ENSMUSG00000017009","Sdc4",343.526492535743,-8.79737082283393,0.899828707936447,-9.77671721877901,1.41733115566723e-22,7.74881517762446e-20
"13072","ENSMUSG00000063450","Syne2",5252.98633828137,-1.795869953128,0.183840720502138,-9.76861898834384,1.53530507308019e-22,8.13944310713269e-20
"11871","ENSMUSG00000053541","Gvin-ps6",12117.7177195221,-1.92464089994035,0.19802684004064,-9.71909110676802,2.50003008277532e-22,1.28641253818101e-19
"3779","ENSMUSG00000024659","Anxa1",8031.48202843306,-1.91407894413909,0.198174629589327,-9.65854684883529,4.52233053331376e-22,2.25528205309876e-19
"3989","ENSMUSG00000025104","Hdgfl3",2040.71784840984,-2.17903908416826,0.225703008229508,-9.65445299671189,4.70664366203618e-22,2.25528205309876e-19
"12150","ENSMUSG00000055675","Kbtbd11",1156.64260108614,-2.70470772326616,0.280190893000699,-9.65308934312654,4.76967339037749e-22,2.25528205309876e-19
"7930","ENSMUSG00000034664","Itga2b",3240.00535306979,1.94876070001303,0.202431541629852,9.62676411157483,6.16400143144568e-22,2.8378738169248e-19
"7499","ENSMUSG00000033082","Clec1a",364.151672753134,-7.04508792830425,0.734261889118557,-9.59478904285978,8.40889414617623e-22,3.77214366890649e-19
"16332","ENSMUSG00000090877","Hspa1b",3068.07489116737,2.0879549891911,0.221720234122164,9.41707010845331,4.63850459810959e-21,2.02876594859818e-18
"11153","ENSMUSG00000048612","Myof",1708.42961128379,-3.15286647508897,0.335945700403969,-9.38504785534598,6.28878765389945e-21,2.68347170743831e-18
"494","ENSMUSG00000003418","St8sia6",1162.15264107444,3.26919831499788,0.35106244049677,9.31229871920164,1.2509512345258e-20,5.21080758286401e-18
"9886","ENSMUSG00000041515","Irf8",3947.55603511733,2.26133025331564,0.243396599723179,9.29072245005682,1.53244582240594e-20,6.2349162006958e-18
"2498","ENSMUSG00000021250","Fos",33241.5973491235,-1.24729732749395,0.134822309763724,-9.25141639896127,2.21537227227941e-20,8.80862225080188e-18
"3291","ENSMUSG00000022957","Itsn1",2734.01002107512,-2.25869692724482,0.245534586260485,-9.19909883835508,3.60964168580584e-20,1.40334847318163e-17
"13192","ENSMUSG00000064345","mt-Nd2",18958.3206518705,1.36310420923221,0.149478254025088,9.11908035133612,7.57644963779053e-20,2.88152144376403e-17
"14715","ENSMUSG00000079362","Gm43302",581.306884647348,-3.7545395928227,0.412240543537374,-9.10764273840114,8.41912829933526e-20,3.13388616163554e-17
"12017","ENSMUSG00000054641","Mmrn1",4512.34707487201,-1.97905112010433,0.21932666477992,-9.02330376514034,1.82500648376177e-19,6.65176842362753e-17
"4376","ENSMUSG00000026070","Il18r1",502.57710876613,-3.79216053612229,0.420832520610595,-9.01109194370285,2.04014891105314e-19,7.28416432630096e-17
"8131","ENSMUSG00000035356","Nfkbiz",4059.01033732999,-1.59317794481864,0.17882295213751,-8.90924753100783,5.13800826515122e-19,1.79778909197641e-16
"14726","ENSMUSG00000079419","Ms4a6c",2348.64648489313,2.22689045339816,0.250697145208632,8.88279143164925,6.5203144571404e-19,2.23672355740532e-16
"13647","ENSMUSG00000069769","Msi2",26161.3866075879,-1.36635285603296,0.154030084090475,-8.87068824315115,7.26952052272753e-19,2.44577426048304e-16
"5354","ENSMUSG00000028214","Gem",1222.9468819433,-2.55398898750538,0.28799012357758,-8.86832144025722,7.42567184137504e-19,2.45117224273314e-16
"3133","ENSMUSG00000022636","Alcam",2886.14615560946,-2.05766591938954,0.232800031745682,-8.83876992610289,9.67781811118061e-19,3.13543384916861e-16
"10688","ENSMUSG00000045730","Adrb2",1814.21255990092,-3.16434069880201,0.358590989534424,-8.8243731469952,1.10074625926745e-18,3.501373782888e-16
"2151","ENSMUSG00000020546","Stxbp4",1956.48050604069,-2.16606560239913,0.247605722219125,-8.74804339328723,2.1708379364042e-18,6.78193030310561e-16
"1306","ENSMUSG00000015224","Cyp2j9",1388.52187186252,-2.32014440331552,0.26554795547517,-8.73719550641564,2.38968716447635e-18,7.33466262149365e-16
"16746","ENSMUSG00000095079","Igha",763.764562663199,-11.850932942308,1.36199132807248,-8.70118090919099,3.28448177160937e-18,9.90724286108722e-16
"435","ENSMUSG00000002985","Apoe",7820.56057729624,1.80505523953439,0.207705864060656,8.69043947169092,3.6104012988586e-18,1.0705757749751e-15
"4092","ENSMUSG00000025330","Padi4",907.475203214766,-2.73032128078674,0.31469493602089,-8.67608902548563,4.09611563017921e-18,1.19435904916642e-15
"2691","ENSMUSG00000021701","Plk2",1466.33548719527,-2.5390946200316,0.293395695916445,-8.65416451356089,4.96535449156341e-18,1.42407994803118e-15
"3706","ENSMUSG00000024480","Ap3s1",3097.07787954814,1.89906902124119,0.222268733608146,8.54402232114751,1.2962898724733e-17,3.65783730950329e-15
"16102","ENSMUSG00000089417","Gm22009",3759.32914955266,-1.91572544588161,0.224374265273868,-8.538080084823,1.36470327879288e-17,3.78975934325102e-15
"5379","ENSMUSG00000028270","Gbp2",2362.44735024156,-1.95938628191332,0.229584379975548,-8.53449299173581,1.40771368007165e-17,3.84811731763336e-15
"11351","ENSMUSG00000049932","H2ax",5675.96080939515,1.36941352489682,0.160837975133948,8.51424250868836,1.67682773876958e-17,4.51324635227288e-15
"1033","ENSMUSG00000009350","Mpo",43887.0169193718,2.13610898058836,0.251077740481063,8.50775929596783,1.77326844084714e-17,4.70050475342737e-15
"11657","ENSMUSG00000051998","Lax1",963.356276274782,-4.95293666478219,0.589231943641479,-8.40575043194845,4.25134332177005e-17,1.11010823006518e-14
"13505","ENSMUSG00000068220","Lgals1",2834.12728924176,2.00517986632126,0.240171079822995,8.3489646954957,6.88639162325822e-17,1.77172678601327e-14
"4377","ENSMUSG00000026072","Il1r1",3202.50782526767,-1.56256122883177,0.187535577427904,-8.33207890610774,7.94349745429049e-17,2.01407953569293e-14
"6012","ENSMUSG00000029561","Oasl2",1280.1133334582,-2.3632111545351,0.284733240807587,-8.29973749405703,1.04341686962508e-16,2.60779687629869e-14
"4511","ENSMUSG00000026358","Rgs1",31665.5241406513,-1.1319028345187,0.136619074158011,-8.28510104825888,1.18008846645165e-16,2.90783770712275e-14
"3983","ENSMUSG00000025085","Ablim1",2937.03639412094,-1.70314858965634,0.206909656737813,-8.23136346804004,1.85094408101294e-16,4.49753704129465e-14
"1318","ENSMUSG00000015340","Cybb",3616.60025509619,-2.97174915902558,0.36110508078895,-8.22959663855419,1.87844899149784e-16,4.50184453510339e-14
"14439","ENSMUSG00000076609","Igkc",457.808570868903,-5.0681396659235,0.616033360779393,-8.22705390420966,1.918741265364e-16,4.50693041176775e-14
"5352","ENSMUSG00000028211","Trp53inp1",3297.31369605282,-1.67274052626576,0.203342475877134,-8.22622287375161,1.93209363179526e-16,4.50693041176775e-14
"13564","ENSMUSG00000068855","H2ac20",13737.5495995789,1.13421180252342,0.137961432429131,8.22122373298819,2.01437075341044e-16,4.63702846459416e-14
"1392","ENSMUSG00000015970","Chdh",2874.7690130298,1.71937695469817,0.209196305750083,8.21896423329882,2.05268244690162e-16,4.66385446864206e-14
"7084","ENSMUSG00000032035","Ets1",1943.01117677194,-1.99235320103685,0.242700263363233,-8.20911017329648,2.22833695071988e-16,4.9980455067749e-14
"7","ENSMUSG00000000078","Klf6",15912.8518212518,-1.27388861346539,0.155233292671112,-8.20628482167381,2.28137851983775e-16,5.0522426841217e-14
"10224","ENSMUSG00000042817","Flt3",15504.20741788,-1.3866061725937,0.169168518018997,-8.1965970313578,2.47287682817878e-16,5.40787251362348e-14
"4512","ENSMUSG00000026360","Rgs2",8739.4577853086,-1.19959369295796,0.14778100453139,-8.11737406144883,4.76378733087397e-16,1.02891925127951e-13
"12850","ENSMUSG00000061615","H2ac4",11472.1117271419,1.24171617904946,0.153750471393801,8.07617802919807,6.68282945257552e-16,1.42580611308303e-13
"12618","ENSMUSG00000059588","Calcrl",10890.5659739228,-1.29306924778873,0.160758573282142,-8.04354767144705,8.72742333941311e-16,1.83959363039798e-13
"5132","ENSMUSG00000027698","Nceh1",3552.49404220868,-1.45925398654317,0.181846485435347,-8.02464772992265,1.01817694108865e-15,2.12059590289832e-13
"12834","ENSMUSG00000061482","H4c4",24217.7620234204,1.31909192577719,0.167540200825724,7.87328604881715,3.45445594810562e-15,7.11008315436563e-13
"4004","ENSMUSG00000025151","Maged1",1604.35603393216,-2.36747865119592,0.301215709290185,-7.85974495412236,3.84916392109258e-15,7.83036311622265e-13
