Gene,seqnames,start,end,width,strand,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,gene_symbol,Peak
ENSMUST00000098192,chr7,103813833,103814122,290,*,81.5185636089649,9.77122385238838,3.22850441331789,3.02654808588186,0.0024736347307638,0.800317952789978,Promoter (<=1kb),7,103812524,103813996,1473,2,101488143,ENSMUST00000098192.3,0,Hbb-bt,chr7_103813833_103814122
ENSMUST00000118152,chr15,103239332,103239547,216,*,74.5558088697386,9.74137319251392,3.22606694989149,3.01958184495879,0.00253123891728109,0.800317952789978,Promoter (<=1kb),15,103191544,103239816,48273,2,12419,ENSMUST00000118152.7,269,Cbx5,chr15_103239332_103239547
ENSMUST00000125858,chr3,133339315,133339680,366,*,88.2582657547635,-9.66266832456987,3.51000928891668,-2.75288967327837,0.00590717995787576,0.800317952789978,Promoter (<=1kb),3,133339109,133378082,38974,1,74776,ENSMUST00000125858.4,206,Ppa2,chr3_133339315_133339680
ENSMUST00000090247,chr15,28025969,28026227,259,*,61.5435582510544,-9.52244956660814,3.52942766468095,-2.69801522266612,0.00697542508686987,0.800317952789978,Promoter (<=1kb),15,27730651,28025848,295198,2,223435,ENSMUST00000090247.6,-121,Trio,chr15_28025969_28026227
ENSMUST00000134732,chr11,96917607,96917766,160,*,95.2072547100911,9.97656530363756,3.71468727590273,2.68570799172134,0.00723763119353847,0.800317952789978,Promoter (1-2kb),11,96907426,96916496,9071,2,80280,ENSMUST00000134732.7,-1111,Cdk5rap3,chr11_96917607_96917766
ENSMUST00000226023,chr13,60936555,60936874,320,*,74.5222345299601,-9.86512037639711,3.71587306501521,-2.65485935708537,0.00793414806982883,0.800317952789978,Promoter (<=1kb),13,60934773,60936557,1785,2,13024,ENSMUST00000226023.1,0,Ctla2a,chr13_60936555_60936874
ENSMUST00000235606,chr18,41951280,41951435,156,*,71.3075031369571,-9.8613475268201,3.71607772760202,-2.65369786362989,0.00796150783292942,0.800317952789978,Promoter (<=1kb),18,41875600,41951242,75643,2,77619,ENSMUST00000235606.1,-38,Prelid2,chr18_41951280_41951435
ENSMUST00000126237,chr11,102375864,102376112,249,*,75.3631406384687,9.79645982308513,3.71660011680719,2.63586598374779,0.00839228696225229,0.800317952789978,Promoter (<=1kb),11,102375549,102377020,1472,2,105463053,ENSMUST00000126237.1,908,Bloodlinc,chr11_102375864_102376112
ENSMUST00000184003,chr6,83395954,83396115,162,*,56.0207772821528,9.3099778945501,3.53929347474553,2.63046225496163,0.00852688377493947,0.800317952789978,Intron (ENSMUST00000089622.10/194388, intron 3 of 10),6,83400996,83401102,107,2,102465194,ENSMUST00000184003.1,4987,Mir6374,chr6_83395954_83396115
ENSMUST00000177320,chr9,50803163,50803400,238,*,70.6376796107739,9.74306213904982,3.71592780556283,2.62197293619759,0.00874223729599075,0.800317952789978,Promoter (1-2kb),9,50802069,50842763,40695,1,102580,ENSMUST00000177320.1,1094,Alg9,chr9_50803163_50803400
ENSMUST00000224574,chr13,81783385,81783626,242,*,34.7679678617486,8.43101263579681,3.23406103464583,2.60694295669659,0.00913545779226755,0.800317952789978,Promoter (<=1kb),13,81783523,81792139,8617,1,12626,ENSMUST00000224574.1,0,Cetn3,chr13_81783385_81783626
ENSMUST00000131736,chr10,81362670,81362836,167,*,71.9173428213952,9.67585072126107,3.71602161052967,2.60381982005802,0.00921912089217035,0.800317952789978,Promoter (2-3kb),10,81363067,81364854,1788,2,432479,ENSMUST00000131736.7,2018,4930404N11Rik,chr10_81362670_81362836
ENSMUST00000035211,chr9,108080245,108080397,153,*,68.9211131463147,9.61046643785293,3.71604629946822,2.58620739984543,0.00970385211892132,0.800317952789978,Promoter (<=1kb),9,108080436,108085003,4568,1,15235,ENSMUST00000035211.13,-39,Mst1,chr9_108080245_108080397
ENSMUST00000019290,chr15,78119808,78120014,207,*,26.0775473593906,-8.37413464802488,3.24148455834168,-2.58342574129337,0.00978245235928605,0.800317952789978,Promoter (<=1kb),15,77991748,78120028,128281,2,12300,ENSMUST00000019290.2,14,Cacng2,chr15_78119808_78120014
ENSMUST00000106766,chr7,105953866,105954085,220,*,25.2567022572672,-8.35070272612787,3.23842497014121,-2.57863090950776,0.00991927074136991,0.800317952789978,Promoter (<=1kb),7,105895139,105953940,58802,2,100042856,ENSMUST00000106766.8,0,Gvin2,chr7_105953866_105954085
ENSMUST00000217702,chr10,130322694,130322874,181,*,41.8051008969671,-9.08740774115836,3.53178584759287,-2.57303475728915,0.0100811083058979,0.800317952789978,Promoter (<=1kb),10,130322877,130364111,41235,1,67596,ENSMUST00000217702.1,-3,Tespa1,chr10_130322694_130322874
ENSMUST00000159136,chr9,108079665,108079847,183,*,54.894000021818,9.21432784047936,3.58115673278229,2.57300322997048,0.010082026680146,0.800317952789978,Promoter (<=1kb),9,108055899,108079728,23830,2,84585,ENSMUST00000159136.7,0,Rnf123,chr9_108079665_108079847
ENSMUST00000111228,chr1,172501736,172502222,487,*,24.6452277825778,-8.33737263687611,3.24358862390834,-2.5704161666562,0.0101576408337427,0.800317952789978,Promoter (<=1kb),1,172501252,172506733,5482,1,21346,ENSMUST00000111228.1,484,Tagln2,chr1_172501736_172502222
ENSMUST00000206422,chr7,24608136,24608367,232,*,29.347222706217,-8.32561229444558,3.24178234564015,-2.56822062889035,0.0102222071948426,0.800317952789978,Promoter (2-3kb),7,24610763,24629297,18535,1,232970,ENSMUST00000206422.1,-2396,Phldb3,chr7_24608136_24608367
ENSMUST00000129800,chr15,75900018,75900211,194,*,56.1448543063133,9.5413994029422,3.71720092290759,2.56682369364068,0.0102634781953477,0.800317952789978,Promoter (1-2kb),15,75896676,75901255,4580,2,66656,ENSMUST00000129800.7,1044,Eef1d,chr15_75900018_75900211
ENSMUST00000138453,chr7,13302872,13303094,223,*,64.8213127402585,-9.52961250555524,3.71720549398304,-2.56364963437739,0.0103578043013384,0.800317952789978,Promoter (<=1kb),7,13302812,13306011,3200,1,16881,ENSMUST00000138453.1,60,Lig1,chr7_13302872_13303094
ENSMUST00000156244,chr10,80421819,80421986,168,*,58.9035935946669,9.50682345062775,3.71698575059844,2.55767013610346,0.0105375996666385,0.800317952789978,Promoter (<=1kb),10,80420083,80421860,1778,2,21423,ENSMUST00000156244.1,0,Tcf3,chr10_80421819_80421986
ENSMUST00000058902,chr11,30025994,30026244,251,*,57.7401222336227,-9.50709964571236,3.71789305356276,-2.55712025836836,0.010554272315323,0.800317952789978,Promoter (<=1kb),11,29743048,30026033,282986,2,237711,ENSMUST00000058902.5,0,Eml6,chr11_30025994_30026244
ENSMUST00000159395,chr1,172528742,172528999,258,*,25.367661959899,-8.29576312055154,3.24553748100276,-2.55605216982071,0.0105867245173956,0.800317952789978,Promoter (2-3kb),1,172526410,172532685,6276,1,71870,ENSMUST00000159395.1,2332,Cfap45,chr1_172528742_172528999
ENSMUST00000196604,chr5,48331480,48331697,218,*,67.3698486029658,-9.44864346639513,3.71691625228327,-2.54206520273114,0.0110199613866615,0.800317952789978,Intron (ENSMUST00000196604.1/66768, intron 1 of 6),5,48327952,48380205,52254,1,66768,ENSMUST00000196604.1,3528,5730480H06Rik,chr5_48331480_48331697
ENSMUST00000147328,chr5,139818900,139819066,167,*,26.2206438868826,8.2251609265585,3.24071091279497,2.53807301789368,0.01114647256411,0.800317952789978,Promoter (<=1kb),5,139813008,139819917,6910,2,231832,ENSMUST00000147328.1,851,Tmem184a,chr5_139818900_139819066
ENSMUST00000002989,chr8,70843470,70843675,206,*,54.8682406821984,9.40031463652431,3.71741174180766,2.52872570740664,0.0114477453557957,0.800317952789978,3' UTR,8,70835129,70839720,4592,2,70807,ENSMUST00000002989.10,-3750,Arrdc2,chr8_70843470_70843675
ENSMUST00000109390,chr11,32256221,32256419,199,*,53.1607349172299,9.39451370467433,3.71761449401097,2.52702740421546,0.0115032526402275,0.800317952789978,Promoter (<=1kb),11,32231263,32256413,25151,2,17168,ENSMUST00000109390.7,0,Nprl3,chr11_32256221_32256419
ENSMUST00000210647,chr8,25785399,25785607,209,*,25.7543571106168,8.18112650686236,3.23972476223156,2.5252535654378,0.0115614836342538,0.800317952789978,Promoter (<=1kb),8,25785559,25794120,8562,1,67207,ENSMUST00000210647.1,0,Lsm1,chr8_25785399_25785607
ENSMUST00000181308,chr1,150165033,150165193,161,*,63.8652419343222,-9.38082935560068,3.71727182954129,-2.5235790616793,0.0116166935488695,0.800317952789978,Promoter (<=1kb),1,150159043,150164948,5906,2,102639566,ENSMUST00000181308.1,-85,Ptgs2os2,chr1_150165033_150165193
ENSMUST00000107764,chr4,46407027,46407261,235,*,44.6447476100253,9.37137707461775,3.71864629668363,2.52010444848582,0.0117320015553422,0.800317952789978,Promoter (2-3kb),4,46393989,46404236,10248,2,93966,ENSMUST00000107764.8,-2791,Hemgn,chr4_46407027_46407261
ENSMUST00000208784,chr7,29001186,29001408,223,*,21.7352777336373,-8.14807696778333,3.2414841569936,-2.51368711773698,0.0119476378459933,0.800317952789978,Promoter (<=1kb),7,29001542,29003274,1733,1,26411,ENSMUST00000208784.1,-134,Map4k1,chr7_29001186_29001408
