Gene;seqnames;start;end;width;strand;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;geneChr;geneStart;geneEnd;geneLength;geneStrand;geneId;transcriptId;distanceToTSS;gene_symbol;Peak
ENSMUST00000118152;chr15;103239332;103239547;216;*;74,5558088697386;-8,28771521576879;3,23008325145642;-2,56578997214141;0,0102941138400785;1;Promoter (<=1kb);15;103191544;103239816;48273;2;12419;ENSMUST00000118152.7;269;Cbx5;chr15_103239332_103239547
ENSMUST00000184222;chr3;137957902;137958170;269;*;30,7869104806504;7,82357989422762;3,23252160593123;2,42027149327399;0,0155089231859469;1;Promoter (2-3kb);3;137932683;137955867;23185;2;26377;ENSMUST00000184222.5;-2035;Dapp1;chr3_137957902_137958170
ENSMUST00000224574;chr13;81783385;81783626;242;*;34,7679678617486;-7,61801779342459;3,23958633536349;-2,3515402908902;0,0186958647428149;1;Promoter (<=1kb);13;81783523;81792139;8617;1;12626;ENSMUST00000224574.1;0;Cetn3;chr13_81783385_81783626
ENSMUST00000000080;chr13;5861463;5862018;556;*;11,3476439596553;-7,59952341218948;3,25943278450912;-2,33154782277064;0,0197244914572758;1;Promoter (<=1kb);13;5861482;5870394;8913;1;23849;ENSMUST00000000080.7;0;Klf6;chr13_5861463_5862018
ENSMUST00000200083;chr1;139454324;139454523;200;*;22,2714576151038;-7,47649068972268;3,24247811714642;-2,30579526510497;0,0211220749290405;1;Promoter (<=1kb);1;139454772;139494088;39317;1;12316;ENSMUST00000200083.4;-249;Aspm;chr1_139454324_139454523
ENSMUST00000123734;chr11;16950797;16951131;335;*;12,2860808601973;-7,44439710763531;3,26397375833483;-2,28077725460427;0,0225616309787568;1;Promoter (<=1kb);11;16935322;16951042;15721;2;72735;ENSMUST00000123734.7;0;Eldr;chr11_16950797_16951131
ENSMUST00000123409;chr1;176814906;176815135;230;*;17,5141553504338;-7,25766121798381;3,25185327407911;-2,23185384034251;0,025624624533587;1;Promoter (<=1kb);1;176814660;177020437;205778;1;76816;ENSMUST00000123409.7;246;Sdccag8;chr1_176814906_176815135
ENSMUST00000102845;chr11;29548347;29548543;197;*;15,3322903868664;-7,07010484561216;3,2610357137183;-2,16805501879975;0,0301545006790093;1;Promoter (<=1kb);11;29545846;29548109;2264;2;78294;ENSMUST00000102845.10;-238;Rps27a;chr11_29548347_29548543
ENSMUST00000056398;chr6;18848182;18848420;239;*;16,6064280330524;-7,04660480509314;3,25838005555937;-2,16260985058216;0,0305711999782928;1;Promoter (<=1kb);6;18848579;18854053;5475;1;76522;ENSMUST00000056398.10;-159;Lsm8;chr6_18848182_18848420
ENSMUST00000042564;chr14;37134932;37135158;227;*;22,678914468156;-7,028431415059;3,26103728845291;-2,15527477712265;0,031140338358103;1;Promoter (<=1kb);14;37120824;37135139;14316;2;66092;ENSMUST00000042564.16;0;Ghitm;chr14_37134932_37135158
ENSMUST00000143433;chr4;48279905;48280128;224;*;23,1350243886485;-6,88283025884842;3,25605474965934;-2,11385581264213;0,0345275842723286;1;Promoter (<=1kb);4;48279826;48427351;147526;1;16348;ENSMUST00000143433.1;79;Invs;chr4_48279905_48280128
ENSMUST00000218439;chr10;80697913;80698163;251;*;34,2692518841899;6,75621849761578;3,23291814805648;2,08982046194933;0,0366339305508082;1;Intron (ENSMUST00000003438.10/208228, intron 1 of 3);10;80699828;80701828;2001;2;208228;ENSMUST00000218439.1;3665;Mob3a;chr10_80697913_80698163
ENSMUST00000234810;chr18;6764593;6764896;304;*;9,9728322422275;-6,86468327250028;3,28913017146873;-2,08708166434013;0,036880753197897;1;Promoter (<=1kb);18;6765145;6794429;29285;1;19330;ENSMUST00000234810.1;-249;Rab18;chr18_6764593_6764896
ENSMUST00000198373;chr5;110840092;110840294;203;*;13,7643445029654;-6,79123775048091;3,25741093330993;-2,08485754162438;0,0370822336928796;1;Promoter (<=1kb);5;110840229;110841339;1111;1;50883;ENSMUST00000198373.1;0;Chek2;chr5_110840092_110840294
ENSMUST00000135703;chr14;66999671;66999840;170;*;42,6342339658057;6,73675911518068;3,2327461699544;2,08391217899911;0,037168156322289;1;Promoter (<=1kb);14;66989434;66999725;10292;2;12177;ENSMUST00000135703.1;0;Bnip3l;chr14_66999671_66999840
ENSMUST00000205881;chr7;24377132;24377365;234;*;97,4853466996649;6,71083988200409;3,23067168192055;2,07722744454635;0,0377805719855162;1;Exon (ENSMUST00000205428.1/16534, exon 3 of 9);7;24382170;24384789;2620;1;16534;ENSMUST00000205881.1;-4805;Kcnn4;chr7_24377132_24377365
ENSMUST00000075853;chr13;51644845;51645063;219;*;20,394097389676;7,68627446985363;3,72922112003999;2,06109378404765;0,0392940937286377;1;Promoter (<=1kb);13;51645232;51650660;5429;1;66197;ENSMUST00000075853.5;-169;Cks2;chr13_51644845_51645063
ENSMUST00000145406;chr1;44147990;44148193;204;*;7,57183505399045;-6,75860625691333;3,28800554489309;-2,05553371630129;0,0398274825430448;1;Promoter (<=1kb);1;44147932;44158255;10324;1;22592;ENSMUST00000145406.1;58;Ercc5;chr1_44147990_44148193
ENSMUST00000075869;chr16;36985877;36986057;181;*;9,93345274228695;6,6732892911089;3,26145432469998;2,04610846166695;0,0407457006696279;1;Intron (ENSMUST00000075869.12/207215, intron 1 of 3);16;36963460;36990467;27008;2;207215;ENSMUST00000075869.12;4410;Fbxo40;chr16_36985877_36986057
ENSMUST00000141709;chr1;85703923;85704148;226;*;9,80352928328945;-6,69334980910714;3,27168115857219;-2,04584416533676;0,0407717051814716;1;Promoter (<=1kb);1;85703442;85707995;4554;1;20684;ENSMUST00000141709.1;481;Sp100;chr1_85703923_85704148
ENSMUST00000201809;chr5;31291344;31291585;242;*;10,910886891413;-6,65846853289532;3,26642153349912;-2,03845966131705;0,0415039849691067;1;Promoter (<=1kb);5;31286105;31291116;5012;2;67661;ENSMUST00000201809.1;-228;Ift172;chr5_31291344_31291585
ENSMUST00000151446;chr11;6267935;6268116;182;*;11,8831227168131;-6,64666294773057;3,2631755808612;-2,03686954104272;0,0416631171849035;1;Promoter (<=1kb);11;6265637;6267772;2136;2;52513;ENSMUST00000151446.1;-163;Ddx56;chr11_6267935_6268116
ENSMUST00000052865;chr9;7763324;7763718;395;*;9,88374509258499;-6,65846603669472;3,2696083199098;-2,03647207408574;0,0417029745210545;1;Promoter (<=1kb);9;7764041;7794333;30293;1;71929;ENSMUST00000052865.15;-323;Tmem123;chr9_7763324_7763718
ENSMUST00000171494;chr10;128411305;128411527;223;*;16,2368065610434;-6,58103390514013;3,25794019881335;-2,01999837429096;0,0433835561657413;1;Promoter (<=1kb);10;128408719;128411492;2774;2;69917;ENSMUST00000171494.7;0;Nabp2;chr10_128411305_128411527
ENSMUST00000107473;chr11;98959417;98959706;290;*;13,9400717403742;6,53872882327746;3,25237884514968;2,01044501105053;0,0443841106363959;1;Promoter (<=1kb);11;98960412;98974942;14531;1;19401;ENSMUST00000107473.2;-706;Rara;chr11_98959417_98959706
ENSMUST00000091614;chr4;40970596;40970824;229;*;11,188797531053;-6,56332096484675;3,27515106931959;-2,00397503074882;0,0450727352118245;1;Promoter (<=1kb);4;40970906;41012608;41703;1;74164;ENSMUST00000091614.6;-82;Nfx1;chr4_40970596_40970824
ENSMUST00000078369;chr13;23750915;23751240;326;*;27,3271682751733;6,46560682612641;3,23676109337585;1,99755454282941;0,0457649756388014;1;Promoter (<=1kb);13;23751126;23751598;473;1;319172;ENSMUST00000078369.2;0;H2ac4;chr13_23750915_23751240
ENSMUST00000034048;chr8;46163297;46163471;175;*;12,2761082796629;-6,51224905901375;3,26376165681957;-1,99532004593734;0,0460079849379718;1;Promoter (<=1kb);8;46163651;46195590;31940;1;66756;ENSMUST00000034048.12;-180;Cfap97;chr8_46163297_46163471
ENSMUST00000154470;chr18;3337924;3338425;502;*;9,9801582373307;-6,48604527030318;3,27603763255284;-1,97984455546347;0,0477209980960865;1;Promoter (<=1kb);18;3267261;3337748;70488;2;12916;ENSMUST00000154470.7;-176;Crem;chr18_3337924_3338425
ENSMUST00000107887;chr11;90248924;90249190;267;*;8,72763692983592;-7,22872455211666;3,65147296682158;-1,97967357770387;0,0477402193983569;1;Promoter (<=1kb);11;90249456;90268465;19010;1;67468;ENSMUST00000107887.7;-266;Mmd;chr11_90248924_90249190
ENSMUST00000020109;chr10;89732507;89732675;169;*;8,83866759441067;-6,48604064979851;3,27878611349346;-1,97818351831672;0,0479080073640598;1;Promoter (<=1kb);10;89711971;89732295;20325;2;67019;ENSMUST00000020109.4;-212;Actr6;chr10_89732507_89732675
ENSMUST00000102912;chr18;56925838;56926080;243;*;19,494731003893;-6,42632783850275;3,25815035191558;-1,97238529361437;0,0485656393834172;1;Promoter (<=1kb);18;56761716;56925548;163833;2;320253;ENSMUST00000102912.7;-290;Marchf3;chr18_56925838_56926080
ENSMUST00000235692;chr18;75021958;75022151;194;*;11,9134997197527;-7,38808216568776;3,74654153348733;-1,97197391238069;0,0486125846712472;1;Intron (ENSMUST00000236220.1/69190, intron 1 of 8);18;75018796;75087705;68910;1;69190;ENSMUST00000235692.1;3162;Dym;chr18_75021958_75022151
ENSMUST00000129694;chr6;142386725;142387032;308;*;9,36340205323347;-6,46703872799798;3,27980380356998;-1,97177609250858;0,048635172698973;1;Promoter (<=1kb);6;142374820;142386974;12155;2;19691;ENSMUST00000129694.7;0;Recql;chr6_142386725_142387032
ENSMUST00000159222;chr17;84776694;84776899;206;*;93,0625243884931;6,35992277132373;3,22992464700644;1,96906227432217;0,0489459403405901;1;Promoter (<=1kb);17;84770437;84777543;7107;2;72416;ENSMUST00000159222.1;644;Lrpprc;chr17_84776694_84776899
ENSMUST00000030289;chr4;98922428;98923132;705;*;9,28124082322929;-6,44000589691713;3,27410763869636;-1,96694996242742;0,0491889797118514;1;Promoter (<=1kb);4;98923810;98935543;11734;1;230484;ENSMUST00000030289.8;-678;Usp1;chr4_98922428_98923132
ENSMUST00000190784;chr1;150100040;150100399;360;*;12,0385184480434;-8,1429762405223;4,14418932497578;-1,9649141489379;0,0494241748360731;1;Promoter (<=1kb);1;150100332;150101326;995;1;19225;ENSMUST00000190784.1;0;Ptgs2;chr1_150100040_150100399
