Gene;seqnames;start;end;width;strand;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;geneChr;geneStart;geneEnd;geneLength;geneStrand;geneId;transcriptId;distanceToTSS;gene_symbol;Peak
ENSMUST00000098192;chr7;103813833;103814122;290;*;81,5185636089649;10,0000356976097;3,22830792618857;3,09760900330719;0,0019508863573842;0,850431579053377;Promoter (<=1kb);7;103812524;103813996;1473;2;101488143;ENSMUST00000098192.3;0;Hbb-bt;chr7_103813833_103814122
ENSMUST00000203329;chr6;42349626;42349892;267;*;53,4988529263423;-9,48649307804909;3,2379292970768;-2,92980241619651;0,00339177594429162;0,850431579053377;Promoter (<=1kb);6;42349630;42351148;1519;1;22793;ENSMUST00000203329.2;0;Zyx;chr6_42349626_42349892
ENSMUST00000118152;chr15;103239332;103239547;216;*;74,5558088697386;9,30766350393689;3,22631784529852;2,88491833422435;0,00391515208566664;0,850431579053377;Promoter (<=1kb);15;103191544;103239816;48273;2;12419;ENSMUST00000118152.7;269;Cbx5;chr15_103239332_103239547
ENSMUST00000020974;chr12;25096100;25096319;220;*;41,3561440742278;-9,06159639633369;3,23756072383576;-2,79889619663961;0,00512776189257195;0,850431579053377;Promoter (<=1kb);12;25093801;25096092;2292;2;15902;ENSMUST00000020974.6;-8;Id2;chr12_25096100_25096319
ENSMUST00000134732;chr11;96917607;96917766;160;*;95,2072547100911;10,3374712344899;3,71448913147648;2,78301291741319;0,00538566618521551;0,850431579053377;Promoter (1-2kb);11;96907426;96916496;9071;2;80280;ENSMUST00000134732.7;-1111;Cdk5rap3;chr11_96917607_96917766
ENSMUST00000098518;chr3;148989445;148989636;192;*;30,823162313049;-8,81657690504768;3,24253716648053;-2,71903649900712;0,00654723830893007;0,850431579053377;Promoter (<=1kb);3;148888941;148989316;100376;2;99633;ENSMUST00000098518.2;-129;Adgrl2;chr3_148989445_148989636
ENSMUST00000143691;chr10;105574440;105574602;163;*;36,3585682316155;-8,76615435683338;3,24044743701213;-2,70522961017885;0,00682571913588649;0,850431579053377;Promoter (<=1kb);10;105269887;105574451;304565;2;278279;ENSMUST00000143691.1;0;Tmtc2;chr10_105574440_105574602
ENSMUST00000148106;chr8;76902013;76902169;157;*;66,1113395334214;-9,52242817418432;3,52067055297248;-2,70472003299048;0,0068361978467535;0,850431579053377;Promoter (<=1kb);8;76902288;77242996;340709;1;110784;ENSMUST00000148106.7;-119;Nr3c2;chr8_76902013_76902169
ENSMUST00000032779;chr7;88277892;88278187;296;*;52,6053098849345;-9,59740565586965;3,55672471519277;-2,69838304181197;0,00696772169472598;0,850431579053377;Promoter (<=1kb);7;88278085;88310888;32804;1;13032;ENSMUST00000032779.11;0;Ctsc;chr7_88277892_88278187
ENSMUST00000226023;chr13;60936555;60936874;320;*;74,5222345299601;-9,96530139623368;3,71587306501521;-2,68181964826963;0,00732229235313026;0,850431579053377;Promoter (<=1kb);13;60934773;60936557;1785;2;13024;ENSMUST00000226023.1;0;Ctla2a;chr13_60936555_60936874
ENSMUST00000235606;chr18;41951280;41951435;156;*;71,3075031369571;-9,96152854658131;3,71607772760202;-2,68065666995869;0,00734778600478106;0,850431579053377;Promoter (<=1kb);18;41875600;41951242;75643;2;77619;ENSMUST00000235606.1;-38;Prelid2;chr18_41951280_41951435
ENSMUST00000161145;chr1;193201484;193201694;211;*;59,7321687882165;-9,48244644521233;3,53757667656619;-2,68049213124523;0,00735139928128114;0,850431579053377;Promoter (<=1kb);1;193198028;193201498;3471;2;215243;ENSMUST00000161145.7;0;Traf3ip3;chr1_193201484_193201694
ENSMUST00000052209;chr8;105170421;105170695;275;*;27,8572198018709;-8,69479053829357;3,24824754782469;-2,67676351949111;0,00743370824117437;0,850431579053377;Promoter (<=1kb);8;105170674;105217989;47316;1;12400;ENSMUST00000052209.8;0;Cbfb;chr8_105170421_105170695
